participant,condition,object,trial_num,fragile_survived,peak_force_proxy,peak_depth_mm,time_to_first_contact_s,force_overshoot_proxy,approach_rate_mm_s,n_force_reversals_post_plateau,time_above_90pct_peak_s
P01,lra,deformable,1,,,0.4939,6.8257,,0.31621142910412997,,
P01,lra,deformable,2,,,0.3941,5.3512,,1.4706288873531508,,
P01,lra,deformable,3,,,0.4909,6.5559,,0.1323890163804701,,
P01,lra,deformable,4,,,0.5152,6.1638,,0.35549231644849183,,
P01,lra,deformable,5,,,0.5035,4.0858,,0.23691230410136704,,
P01,lra,fragile,1,1.0,,0.9842,5.0938,,1.0078124999999991,,
P01,lra,fragile,2,0.0,,0.9842,4.749,,0.9337979094076629,,
P01,lra,fragile,3,1.0,,0.8552,5.8897,,,,
P01,lra,fragile,4,1.0,,0.8552,5.7013,,0.4034504590060145,,
P01,lra,fragile,5,0.0,,0.9842,5.7841,,0.5323574042667142,,
P01,em,deformable,1,,,0.4959,5.0296,,0.43190013869625515,,
P01,em,deformable,2,,,0.4454,3.6185,,3.580495356037152,,
P01,em,deformable,3,,,0.4394,5.1738,,4.36477987421385,,
P01,em,deformable,4,,,0.4646,2.3451,,1.1125779244591127,,
P01,em,deformable,5,,,0.4395,7.6304,,0.48049921996879663,,
P01,em,fragile,1,0.0,,0.9842,4.4938,,,,
P01,em,fragile,2,1.0,,0.8123,5.5534,,0.2784604187181573,,
P01,em,fragile,3,0.0,,0.9097,5.2973,,,,
P01,em,fragile,4,0.0,,0.9842,9.893,,5.753328661527696,,
P01,em,fragile,5,0.0,,0.9842,5.1527,,1.6084788029925268,,
P01,visual_only,deformable,1,,,0.246,7.6895,,0.03585217870932156,,
P01,visual_only,deformable,2,,,0.0,,,,,
P01,visual_only,deformable,3,,,0.1632,9.7642,,,,
P01,visual_only,deformable,4,,,0.3766,5.3084,,1.1126102750389189,,
P01,visual_only,deformable,5,,,0.0,,,,,
P01,visual_only,fragile,1,1.0,,0.9842,4.8129,,4.213888888888885,,
P01,visual_only,fragile,2,0.0,,0.9842,4.4807,,10.369811320754671,,
P01,visual_only,fragile,3,1.0,,0.9842,3.4965,,0.8946540880503163,,
P01,visual_only,fragile,4,1.0,,0.9842,4.4265,,0.67361835245047,,
