participant,condition,object,n_trials,peak_force_proxy,peak_depth_mm,time_to_first_contact_s,force_overshoot_proxy,approach_rate_mm_s,n_force_reversals_post_plateau,time_above_90pct_peak_s,fragile_survived
P01,lra,deformable,5,,0.4939,6.1638,,0.31621142910412997,,,
P01,lra,fragile,5,,0.9842,5.7013,,0.7330776568371886,,,1.0
P01,em,deformable,5,,0.4454,5.0296,,1.1125779244591127,,,
P01,em,fragile,5,,0.9842,5.2973,,1.6084788029925268,,,0.0
P01,visual_only,deformable,5,,0.1632,7.6895,,0.5742312268741202,,,
P01,visual_only,fragile,5,,0.9842,4.4807,,0.8946540880503163,,,1.0
P02,lra,deformable,5,,0.3317,2.944,,0.2581215169226587,,,
P02,lra,fragile,5,,0.857,4.21,,1.6676272814601332,,,1.0
P02,em,deformable,5,,0.3529,5.03,,0.20603717716729744,,,
P02,em,fragile,5,,0.9061,3.4348,,2.124707107524082,,,1.0
P02,visual_only,deformable,5,,0.2135,3.6395,,0.2824726134585292,,,
P02,visual_only,fragile,5,,0.9841,4.7758,,1.7390732829444655,,,1.0
P03,lra,deformable,5,,0.4601,2.1656,,0.5242926829268292,,,
P03,lra,fragile,5,,0.9842,2.8965,,2.157031249999998,,,1.0
P03,em,deformable,5,,0.2802,2.1605,,0.2873911397198031,,,
P03,em,fragile,5,,0.9842,2.5518,,4.686423649040451,,,1.0
P03,visual_only,deformable,5,,0.3001,2.0189,,0.32008002000500124,,,
P03,visual_only,fragile,5,,0.9842,1.9451,,4.8050713153724125,,,0.0
P04,lra,deformable,5,,0.5899,2.1429,,1.685730487436153,,,
P04,lra,fragile,5,,0.9842,2.7475,,3.2167641325536067,,,1.0
P04,em,deformable,5,,0.5441,3.1699,,1.9513425457813698,,,
P04,em,fragile,5,,0.9842,2.9026,,1.3180464562239433,,,1.0
P04,visual_only,deformable,5,,0.7604,2.6876,,1.2854914196567895,,,
P04,visual_only,fragile,5,,0.9842,4.0249,,6.006191950464439,,,1.0
P05,lra,deformable,5,,0.2808,4.5487,,0.09257329959815447,,,
P05,lra,fragile,5,,0.7284,5.6199,,1.4895586652314312,,,1.0
P05,em,deformable,5,,0.2222,4.0862,,0.11244143675169191,,,
P05,em,fragile,5,,0.8552,3.6916,,1.4274292519135647,,,1.0
P05,visual_only,deformable,5,,0.1672,4.5642,,1.76627591262206,,,
P05,visual_only,fragile,5,,0.9842,3.5585,,2.257037884864375,,,1.0
P06,lra,deformable,5,,0.2803,3.2891,,0.1999666722212964,,,
P06,lra,fragile,5,,0.9062,3.8872,,3.3136792452830135,,,1.0
P06,em,deformable,5,,0.3444,4.0998,,0.3753060579364407,,,
P06,em,fragile,5,,0.9842,5.0285,,1.0465021878120815,,,1.0
P06,visual_only,deformable,5,,0.1783,4.15655,,0.14804186360567198,,,
P06,visual_only,fragile,5,,0.9842,2.4213,,3.215361999264981,,,1.0
P07,lra,deformable,5,,0.8493,2.1501,,1.2768211920529802,,,
P07,lra,fragile,5,,0.9842,3.0904,,2.017445917655269,,,1.0
P07,em,deformable,5,,0.7954,2.4859,,1.761950286806883,,,
P07,em,fragile,5,,0.9842,3.8853,,1.5433347150721883,,,0.0
P07,visual_only,deformable,5,,0.8143,3.294,,0.4865190540744086,,,
P07,visual_only,fragile,5,,0.9842,3.8939,,3.6399876285576296,,,0.0
P08,lra,deformable,5,,0.2107,1.9519,,1.0119774729766557,,,
P08,lra,fragile,5,,0.9842,1.7649,,5.577134986225896,,,1.0
P08,em,deformable,5,,0.3748,1.7493,,0.41194968553459055,,,
P08,em,fragile,5,,0.9842,1.6861,,4.218734910671172,,,1.0
P08,visual_only,deformable,5,,0.0,2.35235,,,,,
P08,visual_only,fragile,5,,0.9842,1.6097,,3.2051148225469728,,,0.0
P09,lra,deformable,5,,0.2183,4.5529,,0.22626977518734415,,,
P09,lra,fragile,5,,0.984,4.7558,,2.017241379310345,,,1.0
P09,em,deformable,5,,0.1676,3.085,,0.1268368231813769,,,
P09,em,fragile,5,,0.9842,4.0131,,2.2323269513991137,,,1.0
P09,visual_only,deformable,5,,0.1767,4.7604,,0.055173221451811916,,,
P09,visual_only,fragile,5,,0.9842,4.0826,,2.8767624020887723,,,1.0
P10,lra,deformable,5,,0.3769,2.1526,,0.48350226439508276,,,
P10,lra,fragile,5,,0.7766,5.2292,,2.3232788342478283,,,1.0
P10,em,deformable,5,,0.483,2.2891,,0.48104624715693745,,,
P10,em,fragile,5,,0.9842,2.6825,,0.11616455405094628,,,1.0
P10,visual_only,deformable,5,,0.0,,,,,,
P10,visual_only,fragile,5,,0.6828,3.7633,,1.6622617650346527,,,1.0
P11,lra,deformable,5,,0.5118,2.2915,,0.5479519657838461,,,
P11,lra,fragile,5,,0.8048,3.2803,,1.858667648141332,,,1.0
P11,em,deformable,5,,0.3403,3.297,,1.1812499999999986,,,
P11,em,fragile,5,,0.804,3.2896,,1.1485000000000003,,,1.0
P11,visual_only,deformable,5,,0.8175,1.8996,,1.3026442307692312,,,
P11,visual_only,fragile,5,,0.9723,4.0213,,1.6693459992692687,,,1.0
P12,lra,deformable,5,,0.1631,3.9518,,0.047274116847826085,,,
P12,lra,fragile,5,,0.7688,5.092,,0.24622494142150475,,,1.0
P12,em,deformable,5,,0.1783,2.4796,,0.3429543911690995,,,
P12,em,fragile,5,,0.7138,3.5513,,1.439942112879884,,,1.0
P12,visual_only,deformable,5,,0.2943,2.8099,,0.12363352198249553,,,
P12,visual_only,fragile,5,,0.9842,5.8698,,3.6456641234399463,,,1.0
P13,lra,deformable,5,,0.2218,2.1583,,0.2282608695652172,,,
P13,lra,fragile,5,,0.9842,2.7463,,1.3006714747575234,,,0.0
P13,em,deformable,5,,0.1632,2.8852,,0.29085799192777345,,,
P13,em,fragile,5,,0.682,3.2777,,2.4185362265538837,,,1.0
