metric,object,n,friedman_stat,friedman_p,comparison,wilcoxon_stat,wilcoxon_p,holm_p
peak_force_proxy,fragile,0,,,,,,
peak_force_proxy,deformable,0,,,,,,
peak_depth_mm,fragile,22,4.7500,0.0930,visual_only_vs_lra,36.0000,0.1728,0.5185
peak_depth_mm,fragile,22,4.7500,0.0930,visual_only_vs_tactiles,26.0000,0.3078,0.6156
peak_depth_mm,fragile,22,4.7500,0.0930,lra_vs_tactiles,43.0000,0.5509,0.6156
peak_depth_mm,deformable,22,3.0575,0.2168,visual_only_vs_lra,95.0000,0.3209,0.7043
peak_depth_mm,deformable,22,3.0575,0.2168,visual_only_vs_tactiles,115.0000,0.9861,0.9861
peak_depth_mm,deformable,22,3.0575,0.2168,lra_vs_tactiles,89.0000,0.2348,0.7043
time_to_first_contact_s,fragile,22,0.8182,0.6643,visual_only_vs_lra,114.0000,0.7024,1.0000
time_to_first_contact_s,fragile,22,0.8182,0.6643,visual_only_vs_tactiles,114.0000,0.7024,1.0000
time_to_first_contact_s,fragile,22,0.8182,0.6643,lra_vs_tactiles,124.0000,0.9493,1.0000
time_to_first_contact_s,deformable,21,1.8095,0.4046,visual_only_vs_lra,84.0000,0.2877,0.8632
time_to_first_contact_s,deformable,21,1.8095,0.4046,visual_only_vs_tactiles,105.0000,0.7335,1.0000
time_to_first_contact_s,deformable,21,1.8095,0.4046,lra_vs_tactiles,102.0000,0.6578,1.0000
force_overshoot_proxy,fragile,0,,,,,,
force_overshoot_proxy,deformable,0,,,,,,
approach_rate_mm_s,fragile,22,1.7273,0.4216,visual_only_vs_lra,72.0000,0.0794,0.2053
approach_rate_mm_s,fragile,22,1.7273,0.4216,visual_only_vs_tactiles,70.0000,0.0684,0.2053
approach_rate_mm_s,fragile,22,1.7273,0.4216,lra_vs_tactiles,117.0000,0.7745,0.7745
approach_rate_mm_s,deformable,20,3.1000,0.2122,visual_only_vs_lra,82.0000,0.4091,0.4091
approach_rate_mm_s,deformable,20,3.1000,0.2122,visual_only_vs_tactiles,68.0000,0.1769,0.3537
approach_rate_mm_s,deformable,20,3.1000,0.2122,lra_vs_tactiles,49.0000,0.0362,0.1087
n_force_reversals_post_plateau,fragile,0,,,,,,
n_force_reversals_post_plateau,deformable,0,,,,,,
time_above_90pct_peak_s,fragile,0,,,,,,
time_above_90pct_peak_s,deformable,0,,,,,,
