item,n,friedman_stat,friedman_p,comparison,wilcoxon_stat,wilcoxon_p,holm_p
ease_of_manipulation,22,10.1569,0.0062,visual_only_vs_lra,4.0000,0.0049,0.0148
ease_of_manipulation,22,10.1569,0.0062,visual_only_vs_tactiles,13.5000,0.0213,0.0425
ease_of_manipulation,22,10.1569,0.0062,lra_vs_tactiles,18.0000,0.1317,0.1317
contact_detection,22,20.1176,0.0000,visual_only_vs_lra,3.5000,0.0005,0.0014
contact_detection,22,20.1176,0.0000,visual_only_vs_tactiles,0.0000,0.0005,0.0014
contact_detection,22,20.1176,0.0000,lra_vs_tactiles,61.0000,0.4319,0.4319
grasp_confidence,22,23.5238,0.0000,visual_only_vs_lra,6.0000,0.0002,0.0007
grasp_confidence,22,23.5238,0.0000,visual_only_vs_tactiles,0.0000,0.0007,0.0015
grasp_confidence,22,23.5238,0.0000,lra_vs_tactiles,20.0000,0.2183,0.2183
force_perception,22,30.6567,0.0000,visual_only_vs_lra,4.5000,0.0001,0.0003
force_perception,22,30.6567,0.0000,visual_only_vs_tactiles,0.0000,0.0001,0.0003
force_perception,22,30.6567,0.0000,lra_vs_tactiles,16.0000,0.7630,0.7630
mental_effort_low,22,5.8919,0.0526,visual_only_vs_lra,3.0000,0.0183,0.0548
mental_effort_low,22,5.8919,0.0526,visual_only_vs_tactiles,10.5000,0.0412,0.0825
mental_effort_low,22,5.8919,0.0526,lra_vs_tactiles,10.5000,1.0000,1.0000
physical_effort_low,22,5.3600,0.0686,visual_only_vs_lra,0.0000,0.0588,0.1596
physical_effort_low,22,5.3600,0.0686,visual_only_vs_tactiles,3.0000,0.0532,0.1596
physical_effort_low,22,5.3600,0.0686,lra_vs_tactiles,7.0000,0.4142,0.4142
