item,condition,n,median,iqr_low,iqr_high
ease_of_manipulation,visual_only,22,3.00,2.00,4.00
ease_of_manipulation,lra,22,4.00,3.00,4.00
ease_of_manipulation,em,22,4.00,3.00,4.00
contact_detection,visual_only,22,2.50,2.00,3.00
contact_detection,lra,22,4.00,4.00,4.75
contact_detection,em,22,4.00,3.00,4.75
grasp_confidence,visual_only,22,2.00,2.00,3.00
grasp_confidence,lra,22,4.00,3.00,4.00
grasp_confidence,em,22,4.00,3.00,4.00
force_perception,visual_only,22,1.00,1.00,2.00
force_perception,lra,22,3.50,3.00,4.00
force_perception,em,22,3.00,3.00,4.00
mental_effort_low,visual_only,22,3.00,2.25,4.00
mental_effort_low,lra,22,4.00,3.00,4.75
mental_effort_low,em,22,4.00,3.00,5.00
physical_effort_low,visual_only,22,3.50,3.00,5.00
physical_effort_low,lra,22,4.00,3.00,5.00
physical_effort_low,em,22,4.00,3.00,5.00
