metric,object,n,margin_sd,alpha,margin_raw,mean_diff_lra_minus_em,p_lower,p_upper,p_tost,equivalent
peak_force_proxy,fragile,,0.5,0.05,,,,,,
peak_force_proxy,deformable,,0.5,0.05,,,,,,
peak_depth_mm,fragile,22,0.5,0.05,0.0537,-0.0180,0.1267,0.0139,0.1267,False
peak_depth_mm,deformable,22,0.5,0.05,0.1444,0.0190,0.0000,0.0000,0.0000,True
time_to_first_contact_s,fragile,22,0.5,0.05,0.6318,-0.0738,0.0447,0.0176,0.0447,True
time_to_first_contact_s,deformable,22,0.5,0.05,0.5778,-0.1377,0.0641,0.0088,0.0641,False
force_overshoot_proxy,fragile,,0.5,0.05,,,,,,
force_overshoot_proxy,deformable,,0.5,0.05,,,,,,
approach_rate_mm_s,fragile,22,0.5,0.05,0.5635,-0.0833,0.0535,0.0170,0.0535,False
approach_rate_mm_s,deformable,22,0.5,0.05,0.5242,-0.3710,0.2831,0.0013,0.2831,False
n_force_reversals_post_plateau,fragile,,0.5,0.05,,,,,,
n_force_reversals_post_plateau,deformable,,0.5,0.05,,,,,,
time_above_90pct_peak_s,fragile,,0.5,0.05,,,,,,
time_above_90pct_peak_s,deformable,,0.5,0.05,,,,,,
