t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0213,48,0.0000,0.0000,,,0.0000,0.0000
0.0853,48,0.0000,0.0000,,,0.0000,0.0000
0.1491,48,0.0000,0.0000,,,0.0000,0.0000
0.2293,48,0.0000,0.0000,,,0.0000,0.0000
0.2768,48,0.0000,0.0000,,,0.0000,0.0000
0.3411,48,0.0000,0.0000,,,0.0000,0.0000
0.4211,48,0.0000,0.0000,,,0.0000,0.0000
0.4844,48,0.0000,0.0000,,,0.0000,0.0000
0.5490,48,0.0000,0.0000,,,0.0000,0.0000
0.6289,48,0.0000,0.0000,,,0.0000,0.0000
0.6778,47,0.0000,0.0000,,,0.0000,0.0000
0.7406,43,0.0000,0.0000,,,0.0000,0.0000
0.8212,43,0.0000,0.0000,,,0.0000,0.0000
0.8852,44,0.0000,0.0000,,,0.0000,0.0000
0.9484,47,0.0000,0.0000,,,0.0000,0.0000
1.0288,47,0.0000,0.0000,,,0.0000,0.0000
1.0766,47,0.0000,0.0000,,,0.0000,0.0000
1.1413,52,0.0000,0.0000,,,0.0000,0.0000
1.2211,56,0.0000,0.0000,,,0.0000,0.0000
1.2853,56,0.0000,0.0000,,,0.0000,0.0000
1.3489,60,0.0000,0.0000,,,0.0000,0.0000
1.4289,65,0.0000,0.0000,,,0.0000,0.0000
1.4773,69,0.0000,0.0000,,,0.0000,0.0000
1.5406,71,0.0000,0.0000,,,0.0000,0.0000
1.6210,74,0.0000,0.0000,,,0.0000,0.0000
1.6850,75,0.0000,0.0000,,,0.0000,0.0000
1.7648,78,0.0000,0.0000,,,0.0000,0.0000
1.8288,87,0.0000,0.0000,,,0.0000,0.0000
1.8765,93,0.0000,0.0000,,,0.0000,0.0000
1.9571,97,0.0000,0.9355,,,0.0000,0.1067
2.0212,114,0.0000,0.0000,,,0.0000,0.0000
2.0847,119,681.6018,2.4378,,,0.2246,0.1284
2.1491,119,3612.1445,10632.3516,,,0.4992,0.6824
2.2287,127,7195.1685,10657.4785,,,0.5966,0.6828
2.2770,126,7195.1685,30117.9863,,,0.5966,0.9842
2.3576,111,2510.6453,18972.2383,,,0.4971,0.9591
2.4209,94,0.0000,0.0000,,,0.0000,0.0000
2.4850,74,0.0000,0.0000,,,0.0000,0.0000
2.5485,54,0.0000,0.0000,,,0.0000,0.0000
2.6290,32,0.0000,0.0000,,,0.0000,0.0000
2.6776,19,0.0000,0.0000,,,0.0000,0.0000
2.7565,16,0.0000,0.0000,,,0.0000,0.0000
2.8211,16,0.0000,0.0000,,,0.0000,0.0000
2.8853,17,0.0000,0.0000,,,0.0000,0.0000
2.9488,14,0.0000,0.0000,,,0.0000,0.0000
3.0289,9,0.0000,0.0000,,,0.0000,0.0000
3.0767,9,0.0000,0.0000,,,0.0000,0.0000
3.1572,3,0.0000,0.0000,,,0.0000,0.0000
3.2205,3,0.0000,0.0000,,,0.0000,0.0000
3.2845,6,0.0000,0.0000,,,0.0000,0.0000
3.3489,6,0.0000,0.0000,,,0.0000,0.0000
3.4292,10,0.0000,0.0000,,,0.0000,0.0000
3.4772,12,0.0000,0.0000,,,0.0000,0.0000
3.5566,18,0.0000,0.0000,,,0.0000,0.0000
3.6214,18,0.0000,0.0000,,,0.0000,0.0000
3.6852,18,0.0000,0.0000,,,0.0000,0.0000
3.7489,23,0.0000,0.0000,,,0.0000,0.0000
3.8292,23,0.0000,0.0000,,,0.0000,0.0000
3.8770,23,0.0000,0.0000,,,0.0000,0.0000
3.9726,25,0.0000,0.0000,,,0.0000,0.0000
4.0372,30,0.0000,0.0000,,,0.0000,0.0000
4.0857,30,0.0000,0.0000,,,0.0000,0.0000
4.1646,40,0.0000,0.0000,,,0.0000,0.0000
4.2294,40,0.0000,0.0000,,,0.0000,0.0000
4.2929,48,0.0000,0.0000,,,0.0000,0.0000
4.3730,49,0.0000,0.0000,,,0.0000,0.0000
4.4370,55,0.0000,0.0000,,,0.0000,0.0000
4.4855,58,0.0000,0.0000,,,0.0000,0.0000
4.5488,58,0.0000,0.0000,,,0.0000,0.0000
4.6289,71,0.0000,0.0000,,,0.0000,0.0000
4.6927,78,0.0000,0.0000,,,0.0000,0.0000
4.7735,83,0.0000,2.8212,,,0.0000,0.1081
