t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0243,21,0.0000,0.0000,,,0.0000,0.0000
0.0721,21,0.0000,0.0000,,,0.0000,0.0000
0.1526,21,0.0000,0.0000,,,0.0000,0.0000
0.2159,21,0.0000,0.0000,,,0.0000,0.0000
0.2808,21,0.0000,0.0000,,,0.0000,0.0000
0.3443,21,0.0000,0.0000,,,0.0000,0.0000
0.4246,21,0.0000,0.0000,,,0.0000,0.0000
0.4725,21,0.0000,0.0000,,,0.0000,0.0000
0.5522,21,0.0000,0.0000,,,0.0000,0.0000
0.6167,21,0.0000,0.0000,,,0.0000,0.0000
0.6963,21,0.0000,0.0000,,,0.0000,0.0000
0.7448,17,0.0000,0.0000,,,0.0000,0.0000
0.8239,16,0.0000,0.0000,,,0.0000,0.0000
0.8720,12,0.0000,0.0000,,,0.0000,0.0000
0.9529,11,0.0000,0.0000,,,0.0000,0.0000
1.0329,11,0.0000,0.0000,,,0.0000,0.0000
1.0800,21,0.0000,0.0000,,,0.0000,0.0000
1.1444,33,0.0000,0.0000,,,0.0000,0.0000
1.2241,35,0.0000,0.0000,,,0.0000,0.0000
1.2727,51,0.0000,0.0000,,,0.0000,0.0000
1.3523,66,0.0000,0.0000,,,0.0000,0.0000
1.4168,67,0.0000,0.0000,,,0.0000,0.0000
1.4960,83,0.0000,0.0000,,,0.0000,0.0000
1.5449,84,0.0000,0.0000,,,0.0000,0.0000
1.6246,92,0.0000,0.0000,,,0.0000,0.0000
1.6884,93,0.0000,0.0000,,,0.0000,0.0000
1.7523,98,0.0000,0.0000,,,0.0000,0.0000
1.8167,98,0.0000,0.0000,,,0.0000,0.0000
1.8802,103,0.0000,0.0000,,,0.0000,0.0000
1.9448,103,0.0000,0.0000,,,0.0000,0.0000
2.0246,108,0.0000,0.0000,,,0.0000,0.0000
2.0884,108,0.0000,0.0000,,,0.0000,0.0000
2.1531,108,10.4423,0.0000,,,0.1454,0.0000
2.2321,110,0.0000,0.0000,,,0.0000,0.0000
2.2809,112,15.9784,0.0000,,,0.1559,0.0000
2.3444,112,15.9784,3824.6677,,,0.1559,0.5947
2.4244,112,116.8314,3714.4817,,,0.1632,0.5819
2.4887,112,1487.7738,3680.7371,,,0.4050,0.5953
2.5522,112,1689.4766,11497.7969,,,0.4761,0.9842
2.6167,112,1662.8608,11226.7197,,,0.4630,0.9842
2.6808,112,1659.6945,11163.9971,,,0.4915,0.9842
2.7443,112,1659.6945,11012.0820,,,0.4915,0.9842
2.8246,112,1583.3501,10999.5625,,,0.4761,0.9842
2.8891,112,1603.3820,10961.6514,,,0.4901,0.9842
2.9525,112,1537.3484,10981.8555,,,0.4890,0.9842
3.0322,112,1564.5647,10998.3164,,,0.4628,0.9842
3.0805,112,1564.5647,10924.6104,,,0.4628,0.9842
3.1442,112,1521.3030,10883.2705,,,0.4782,0.9842
3.2244,112,1566.5388,10922.1885,,,0.4626,0.9842
3.2884,112,1543.5000,10914.7822,,,0.4701,0.9842
3.3522,112,1551.0035,10920.5889,,,0.4641,0.9842
3.4330,112,1566.7759,10892.6953,,,0.4731,0.9842
3.4802,112,1566.7759,10900.7764,,,0.4731,0.9842
3.5446,112,1557.9209,10887.5293,,,0.4833,0.9842
3.6243,112,1556.2174,10791.7480,,,0.4840,0.9842
3.6883,112,1529.5730,10813.5928,,,0.4721,0.9842
3.7532,110,1523.7959,10867.7109,,,0.4665,0.9842
3.8323,107,1551.8677,10882.0205,,,0.4620,0.9842
3.8963,107,1570.2222,10828.3486,,,0.4633,0.9842
3.9443,100,1570.2222,10863.0537,,,0.4633,0.9842
4.0403,96,60.3965,6912.0088,,,0.1631,0.7761
4.0880,91,12.5377,601.1791,,,0.1630,0.3255
4.1532,91,0.0000,475.5944,,,0.0000,0.2519
4.2321,76,0.0000,0.0000,,,0.0000,0.0000
4.2801,60,0.0000,0.0000,,,0.0000,0.0000
4.3608,56,0.0000,0.0000,,,0.0000,0.0000
4.4249,56,0.0000,0.0000,,,0.0000,0.0000
4.5049,39,0.0000,0.0000,,,0.0000,0.0000
4.5524,32,0.0000,0.0000,,,0.0000,0.0000
4.6330,30,0.0000,0.0000,,,0.0000,0.0000
4.6805,26,0.0000,0.0000,,,0.0000,0.0000
4.7610,10,0.0000,0.0000,,,0.0000,0.0000
4.8244,6,0.0000,0.0000,,,0.0000,0.0000
4.8888,6,0.0000,0.0000,,,0.0000,0.0000
4.9522,10,0.0000,0.0000,,,0.0000,0.0000
5.0332,11,0.0000,0.0000,,,0.0000,0.0000
5.0804,14,0.0000,0.0000,,,0.0000,0.0000
5.1604,17,0.0000,0.0000,,,0.0000,0.0000
5.2245,18,0.0000,0.0000,,,0.0000,0.0000
5.2882,18,0.0000,0.0000,,,0.0000,0.0000
5.3525,22,0.0000,0.0000,,,0.0000,0.0000
5.4329,22,0.0000,0.0000,,,0.0000,0.0000
5.4808,18,0.0000,0.0000,,,0.0000,0.0000
5.5605,17,0.0000,0.0000,,,0.0000,0.0000
5.6248,14,0.0000,0.0000,,,0.0000,0.0000
5.6885,14,0.0000,0.0000,,,0.0000,0.0000
5.7522,14,0.0000,0.0000,,,0.0000,0.0000
5.8328,14,0.0000,0.0000,,,0.0000,0.0000
5.8804,14,0.0000,0.0000,,,0.0000,0.0000
5.9609,14,0.0000,0.0000,,,0.0000,0.0000
6.0247,14,0.0000,0.0000,,,0.0000,0.0000
6.0893,14,0.0000,0.0000,,,0.0000,0.0000
6.1532,14,0.0000,0.0000,,,0.0000,0.0000
6.2325,14,0.0000,0.0000,,,0.0000,0.0000
6.2970,14,0.0000,0.0000,,,0.0000,0.0000
6.3608,14,0.0000,0.0000,,,0.0000,0.0000
