t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0058,3,0.0000,0.0000,,,0.0000,0.0000
0.0865,3,0.0000,0.0000,,,0.0000,0.0000
0.1499,3,0.0000,0.0000,,,0.0000,0.0000
0.2140,3,0.0000,0.0000,,,0.0000,0.0000
0.2779,3,0.0000,0.0000,,,0.0000,0.0000
0.3427,3,0.0000,0.0000,,,0.0000,0.0000
0.4063,3,0.0000,0.0000,,,0.0000,0.0000
0.4861,3,0.0000,0.0000,,,0.0000,0.0000
0.5498,3,0.0000,0.0000,,,0.0000,0.0000
0.6144,3,0.0000,0.0000,,,0.0000,0.0000
0.6778,3,0.0000,0.0000,,,0.0000,0.0000
0.7421,3,0.0000,0.0000,,,0.0000,0.0000
0.8222,3,0.0000,0.0000,,,0.0000,0.0000
0.8867,3,0.0000,0.0000,,,0.0000,0.0000
0.9500,3,0.0000,0.0000,,,0.0000,0.0000
1.0147,3,0.0000,0.0000,,,0.0000,0.0000
1.0781,3,0.0000,0.0000,,,0.0000,0.0000
1.1417,7,0.0000,0.0000,,,0.0000,0.0000
1.2222,13,0.0000,0.0000,,,0.0000,0.0000
1.3020,19,0.0000,0.0000,,,0.0000,0.0000
1.3507,34,0.0000,0.0000,,,0.0000,0.0000
1.4140,41,0.0000,0.0000,,,0.0000,0.0000
1.4786,44,0.0000,0.0000,,,0.0000,0.0000
1.5423,62,0.0000,0.0000,,,0.0000,0.0000
1.6222,69,0.0000,0.0000,,,0.0000,0.0000
1.6863,72,0.0000,0.0000,,,0.0000,0.0000
1.7661,77,0.0000,0.0000,,,0.0000,0.0000
1.8144,80,0.0000,0.0000,,,0.0000,0.0000
1.8779,81,0.0000,0.0000,,,0 a.0000,0.0000
1.9578,73,0.0000,0.0000,,,0.0000,0.0000
2.0223,72,0.0000,0.0000,,,0.0000,0.0000
2.1028,79,0.0000,0.0000,,,0.0000,0.0000
2.1664,79,0.0000,0.0000,,,0.0000,0.0000
2.2138,77,0.0000,0.0000,,,0.0000,0.0000
2.2943,77,0.0000,0.0000,,,0.0000,0.0000
2.3582,81,0.0000,0.0000,,,0.0000,0.0000
2.4226,81,0.0000,0.0000,,,0.0000,0.0000
2.4864,89,0.0000,0.0000,,,0.0000,0.0000
2.5668,90,0.0000,0.0000,,,0.0000,0.0000
2.6145,98,0.0000,0.0000,,,0.0000,0.0000
2.6941,109,0.0000,0.0000,,,0.0000,0.0000
2.7582,109,0.0000,0.0000,,,0.0000,0.0000
2.8227,113,0.0000,0.0000,,,0.0000,0.0000
2.9026,114,0.0000,7352.5723,,,0.0000,0.8725
2.9506,114,1678.9342,7352.5723,,,0.4640,0.8725
3.0139,110,1728.1304,10751.6738,,,0.4837,0.9842
3.0785,110,3783.8184,17900.0703,,,0.7407,0.9842
3.1584,99,4553.5513,17649.5645,,,0.8005,0.9842
3.2229,93,4753.7720,20626.3027,,,0.8039,0.9842
3.2870,90,2553.9629,13045.9805,,,0.5691,0.9842
3.3500,84,2399.5950,12679.6641,,,0.5613,0.9842
3.4146,84,0.0000,2792.6687,,,0.0000,0.5624
3.4778,79,0.0000,0.0000,,,0.0000,0.0000
3.5582,79,0.0000,0.0000,,,0.0000,0.0000
3.6228,79,0.0000,0.0000,,,0.0000,0.0000
3.7034,80,0.0000,0.0000,,,0.0000,0.0000
3.7504,84,0.0000,0.0000,,,0.0000,0.0000
3.8139,85,0.0000,0.0000,,,0.0000,0.0000
