t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0123,3,0.0000,0.0000,,,0.0000,0.0000
0.0769,3,0.0000,0.0000,,,0.0000,0.0000
0.1411,3,0.0000,0.0000,,,0.0000,0.0000
0.2044,3,0.0000,0.0000,,,0.0000,0.0000
0.2851,3,0.0000,0.0000,,,0.0000,0.0000
0.3485,3,0.0000,0.0000,,,0.0000,0.0000
0.4130,3,0.0000,0.0000,,,0.0000,0.0000
0.4766,3,0.0000,0.0000,,,0.0000,0.0000
0.5413,3,0.0000,0.0000,,,0.0000,0.0000
0.6048,3,0.0000,0.0000,,,0.0000,0.0000
0.6843,3,0.0000,0.0000,,,0.0000,0.0000
0.7491,3,0.0000,0.0000,,,0.0000,0.0000
0.8129,3,0.0000,0.0000,,,0.0000,0.0000
0.8763,3,0.0000,0.0000,,,0.0000,0.0000
0.9409,3,0.0000,0.0000,,,0.0000,0.0000
1.0204,3,0.0000,0.0000,,,0.0000,0.0000
1.0848,7,0.0000,0.0000,,,0.0000,0.0000
1.1491,8,0.0000,0.0000,,,0.0000,0.0000
1.2133,20,0.0000,0.0000,,,0.0000,0.0000
1.2930,29,0.0000,0.0000,,,0.0000,0.0000
1.3403,29,0.0000,0.0000,,,0.0000,0.0000
1.4210,40,0.0000,0.0000,,,0.0000,0.0000
1.4849,47,0.0000,0.0000,,,0.0000,0.0000
1.5492,48,0.0000,0.0000,,,0.0000,0.0000
1.6131,51,0.0000,0.0000,,,0.0000,0.0000
1.6776,51,0.0000,0.0000,,,0.0000,0.0000
1.7411,55,0.0000,0.0000,,,0.0000,0.0000
1.8202,56,0.0000,0.0000,,,0.0000,0.0000
1.8850,57,0.0000,0.0000,,,0.0000,0.0000
1.9486,64,0.0000,0.0000,,,0.0000,0.0000
2.0124,64,0.0000,0.0000,,,0.0000,0.0000
2.0770,68,0.0000,0.0000,,,0.0000,0.0000
2.1566,68,0.0000,0.0000,,,0.0000,0.0000
2.2203,71,0.0000,0.0000,,,0.0000,0.0000
2.2850,72,0.0000,0.0000,,,0.0000,0.0000
2.3482,72,0.0000,0.0000,,,0.0000,0.0000
2.4129,72,0.0000,0.0000,,,0.0000,0.0000
2.4764,72,0.0000,0.0000,,,0.0000,0.0000
2.5570,72,0.0000,0.0000,,,0.0000,0.0000
2.6205,72,0.0000,0.0000,,,0.0000,0.0000
2.6851,72,0.0000,0.0000,,,0.0000,0.0000
2.7488,76,0.0000,0.0000,,,0.0000,0.0000
2.8122,77,0.0000,0.0000,,,0.0000,0.0000
2.8770,81,0.0000,0.0000,,,0.0000,0.0000
2.9567,82,0.0000,0.0000,,,0.0000,0.0000
3.0211,82,0.0000,0.0000,,,0.0000,0.0000
3.0854,82,0.0000,0.0000,,,0.0000,0.0000
3.1491,82,0.0000,0.0000,,,0.0000,0.0000
3.2130,82,0.0000,0.0000,,,0.0000,0.0000
3.2764,82,0.0000,0.0000,,,0.0000,0.0000
3.3571,85,0.0000,0.0000,,,0.0000,0.0000
3.4204,86,0.0000,0.0000,,,0.0000,0.0000
3.4850,86,0.0000,0.0000,,,0.0000,0.0000
3.5485,86,0.0000,0.0000,,,0.0000,0.0000
3.6122,86,0.0000,0.0000,,,0.0000,0.0000
3.6768,86,0.0000,0.0000,,,0.0000,0.0000
3.7567,86,0.0000,0.0000,,,0.0000,0.0000
3.8210,86,0.0000,0.0000,,,0.0000,0.0000
3.8847,86,0.0000,0.0000,,,0.0000,0.0000
3.9491,90,0.0000,0.0000,,,0.0000,0.0000
4.0125,89,0.0000,0.0000,,,0.0000,0.0000
4.0927,86,0.0000,0.0000,,,0.0000,0.0000
4.1562,86,0.0000,0.0000,,,0.0000,0.0000
4.2209,90,0.0000,0.0000,,,0.0000,0.0000
4.3016,90,0.0000,0.0000,,,0.0000,0.0000
4.3486,99,0.0000,0.0000,,,0.0000,0.0000
4.4286,105,0.0000,0.0000,,,0.0000,0.0000
4.4932,105,0.0000,0.0000,,,0.0000,0.0000
4.5567,109,0.0000,0.0000,,,0.0000,0.0000
4.6202,110,0.0000,0.0000,,,0.0000,0.0000
4.7002,111,1631.2627,0.0000,,,0.3883,0.0000
4.7486,115,1712.1887,2.4227,,,0.3927,0.1090
4.8286,115,4706.1289,211.2879,,,0.5857,0.3733
4.8923,118,5543.7549,194.8658,,,0.6452,0.3746
4.9568,119,5540.9307,184.9246,,,0.6262,0.3744
5.0203,119,9268.2803,138.7347,,,0.8039,0.3775
5.0841,119,9854.9121,154.7151,,,0.8040,0.3773
5.1487,119,13232.3203,203.6411,,,0.8236,0.3735
5.2124,115,13530.4072,1473.6458,,,0.8255,0.3772
5.2929,115,13509.8447,1545.1083,,,0.8358,0.4056
5.3568,106,13436.8047,1572.0586,,,0.8435,0.3779
5.4210,88,13380.5938,1574.7203,,,0.8409,0.3779
5.5004,66,11548.3789,149.4098,,,0.8056,0.3752
5.5482,49,9575.3887,62.1757,,,0.8028,0.2307
5.6291,27,3094.0134,0.0000,,,0.5117,0.0000
5.6930,9,0.0000,0.0000,,,0.0000,0.0000
5.7563,7,0.0000,0.0000,,,0.0000,0.0000
5.8210,5,0.0000,0.0000,,,0.0000,0.0000
5.8844,3,0.0000,0.0000,,,0.0000,0.0000
5.9490,3,0.0000,0.0000,,,0.0000,0.0000
6.0132,3,0.0000,0.0000,,,0.0000,0.0000
6.0935,3,0.0000,0.0000,,,0.0000,0.0000
6.1564,3,0.0000,0.0000,,,0.0000,0.0000
6.2203,3,0.0000,0.0000,,,0.0000,0.0000
6.2852,3,0.0000,0.0000,,,0.0000,0.0000
6.3498,3,0.0000,0.0000,,,0.0000,0.0000
6.4282,3,0.0000,0.0000,,,0.0000,0.0000
6.4922,3,0.0000,0.0000,,,0.0000,0.0000
6.5571,3,0.0000,0.0000,,,0.0000,0.0000
6.6207,3,0.0000,0.0000,,,0.0000,0.0000
6.6841,3,0.0000,0.0000,,,0.0000,0.0000
6.7485,3,0.0000,0.0000,,,0.0000,0.0000
6.8284,3,0.0000,0.0000,,,0.0000,0.0000
6.8931,3,0.0000,0.0000,,,0.0000,0.0000
6.9571,3,0.0000,0.0000,,,0.0000,0.0000
7.0212,3,0.0000,0.0000,,,0.0000,0.0000
7.0846,3,0.0000,0.0000,,,0.0000,0.0000
7.1482,3,0.0000,0.0000,,,0.0000,0.0000
7.2282,3,0.0000,0.0000,,,0.0000,0.0000
7.2928,3,0.0000,0.0000,,,0.0000,0.0000
7.3563,3,0.0000,0.0000,,,0.0000,0.0000
7.4206,3,0.0000,0.0000,,,0.0000,0.0000
7.4844,3,0.0000,0.0000,,,0.0000,0.0000
7.5490,3,0.0000,0.0000,,,0.0000,0.0000
7.6292,3,0.0000,0.0000,,,0.0000,0.0000
7.6929,3,0.0000,0.0000,,,0.0000,0.0000
7.7571,3,0.0000,0.0000,,,0.0000,0.0000
7.8204,3,0.0000,0.0000,,,0.0000,0.0000
7.8843,3,0.0000,0.0000,,,0.0000,0.0000
7.9649,3,0.0000,0.0000,,,0.0000,0.0000
8.0287,3,0.0000,0.0000,,,0.0000,0.0000
8.0930,3,0.0000,0.0000,,,0.0000,0.0000
8.1568,3,0.0000,0.0000,,,0.0000,0.0000
8.2205,3,0.0000,0.0000,,,0.0000,0.0000
8.2851,3,0.0000,0.0000,,,0.0000,0.0000
8.3651,3,0.0000,0.0000,,,0.0000,0.0000
8.4283,3,0.0000,0.0000,,,0.0000,0.0000
8.4923,3,0.0000,0.0000,,,0.0000,0.0000
8.5567,3,0.0000,0.0000,,,0.0000,0.0000
8.6210,3,0.0000,0.0000,,,0.0000,0.0000
8.6845,3,0.0000,0.0000,,,0.0000,0.0000
8.7643,3,0.0000,0.0000,,,0.0000,0.0000
8.8281,3,0.0000,0.0000,,,0.0000,0.0000
8.8931,3,0.0000,0.0000,,,0.0000,0.0000
8.9563,3,0.0000,0.0000,,,0.0000,0.0000
9.0209,3,0.0000,0.0000,,,0.0000,0.0000
9.0843,3,0.0000,0.0000,,,0.0000,0.0000
9.1643,3,0.0000,0.0000,,,0.0000,0.0000
9.2290,3,0.0000,0.0000,,,0.0000,0.0000
9.2926,3,0.0000,0.0000,,,0.0000,0.0000
9.3572,3,0.0000,0.0000,,,0.0000,0.0000
9.4204,3,0.0000,0.0000,,,0.0000,0.0000
9.5010,3,0.0000,0.0000,,,0.0000,0.0000
9.5644,3,0.0000,0.0000,,,0.0000,0.0000
