t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0055,3,0.0000,0.0000,,,0.0000,0.0000
0.0856,3,0.0000,0.0000,,,0.0000,0.0000
0.1488,3,0.0000,0.0000,,,0.0000,0.0000
0.2131,3,0.0000,0.0000,,,0.0000,0.0000
0.2769,3,0.0000,0.0000,,,0.0000,0.0000
0.3413,3,0.0000,0.0000,,,0.0000,0.0000
0.4048,3,0.0000,0.0000,,,0.0000,0.0000
0.4852,3,0.0000,0.0000,,,0.0000,0.0000
0.5494,3,0.0000,0.0000,,,0.0000,0.0000
0.6132,6,0.0000,0.0000,,,0.0000,0.0000
0.6774,7,0.0000,0.0000,,,0.0000,0.0000
0.7409,15,0.0000,0.0000,,,0.0000,0.0000
0.8212,22,0.0000,0.0000,,,0.0000,0.0000
0.8846,25,0.0000,0.0000,,,0.0000,0.0000
0.9489,37,0.0000,0.0000,,,0.0000,0.0000
1.0136,37,0.0000,0.0000,,,0.0000,0.0000
1.0771,47,0.0000,0.0000,,,0.0000,0.0000
1.1571,48,0.0000,0.0000,,,0.0000,0.0000
1.2206,53,0.0000,0.0000,,,0.0000,0.0000
1.2849,59,0.0000,0.0000,,,0.0000,0.0000
1.3486,62,0.0000,0.0000,,,0.0000,0.0000
1.4134,71,0.0000,0.0000,,,0.0000,0.0000
1.4770,72,0.0000,0.0000,,,0.0000,0.0000
1.5569,84,0.0000,0.0000,,,0.0000,0.0000
1.6220,84,0.0000,0.0000,,,0.0000,0.0000
1.6845,92,0.0000,0.0000,,,0.0000,0.0000
1.7495,93,0.0000,0.0000,,,0.0000,0.0000
1.8127,98,0.0000,0.0000,,,0.0000,0.0000
1.8775,99,0.0000,0.0000,,,0.0000,0.0000
1.9410,101,0.0000,0.0000,,,0.0000,0.0000
2.0213,104,0.0000,0.0000,,,0.0000,0.0000
2.0853,104,0.0000,0.0000,,,0.0000,0.0000
2.1488,108,0.0000,0.0000,,,0.0000,0.0000
2.2133,108,0.0000,0.0000,,,0.0000,0.0000
2.2771,108,0.0000,0.0000,,,0.0000,0.0000
2.3568,108,0.0000,0.0000,,,0.0000,0.0000
2.4213,108,0.0000,17.8608,,,0.0000,0.1104
2.4852,108,0.0000,73.9787,,,0.0000,0.2038
2.5496,108,0.0000,43.2611,,,0.0000,0.1914
2.6131,108,0.0000,33.9679,,,0.0000,0.1656
2.6775,104,0.0000,22.7381,,,0.0000,0.1105
2.7579,103,0.0000,18.0344,,,0.0000,0.1105
2.8212,103,0.0000,22.6878,,,0.0000,0.1105
2.8853,103,0.0000,12.8513,,,0.0000,0.1404
2.9493,103,0.0000,0.0000,,,0.0000,0.0000
3.0137,103,0.0000,0.0000,,,0.0000,0.0000
3.0772,103,0.0000,0.0000,,,0.0000,0.0000
3.1574,103,0.0000,0.0000,,,0.0000,0.0000
3.2217,103,0.0000,0.0000,,,0.0000,0.0000
3.2850,103,0.0000,0.0000,,,0.0000,0.0000
3.3495,99,0.0000,0.0000,,,0.0000,0.0000
3.4129,98,0.0000,0.0000,,,0.0000,0.0000
3.4775,93,0.0000,0.0000,,,0.0000,0.0000
3.5568,93,0.0000,0.0000,,,0.0000,0.0000
3.6212,83,0.0000,0.0000,,,0.0000,0.0000
3.6855,76,0.0000,0.0000,,,0.0000,0.0000
3.7494,75,0.0000,0.0000,,,0.0000,0.0000
3.8128,60,0.0000,0.0000,,,0.0000,0.0000
3.8938,58,0.0000,0.0000,,,0.0000,0.0000
3.9571,53,0.0000,0.0000,,,0.0000,0.0000
4.0216,53,0.0000,0.0000,,,0.0000,0.0000
4.0847,44,0.0000,0.0000,,,0.0000,0.0000
4.1654,41,0.0000,0.0000,,,0.0000,0.0000
4.2128,40,0.0000,0.0000,,,0.0000,0.0000
4.2934,37,0.0000,0.0000,,,0.0000,0.0000
4.3571,34,0.0000,0.0000,,,0.0000,0.0000
4.4215,26,0.0000,0.0000,,,0.0000,0.0000
4.4851,25,0.0000,0.0000,,,0.0000,0.0000
4.5655,21,0.0000,0.0000,,,0.0000,0.0000
4.6132,18,0.0000,0.0000,,,0.0000,0.0000
4.6929,14,0.0000,0.0000,,,0.0000,0.0000
4.7574,12,0.0000,0.0000,,,0.0000,0.0000
4.8213,10,0.0000,0.0000,,,0.0000,0.0000
4.8855,6,0.0000,0.0000,,,0.0000,0.0000
4.9494,5,0.0000,0.0000,,,0.0000,0.0000
5.0128,4,0.0000,0.0000,,,0.0000,0.0000
5.0936,2,0.0000,0.0000,,,0.0000,0.0000
5.1571,3,0.0000,0.0000,,,0.0000,0.0000
5.2206,3,0.0000,0.0000,,,0.0000,0.0000
5.2855,3,0.0000,0.0000,,,0.0000,0.0000
5.3497,3,0.0000,0.0000,,,0.0000,0.0000
5.4133,3,0.0000,0.0000,,,0.0000,0.0000
5.4931,3,0.0000,0.0000,,,0.0000,0.0000
5.5575,3,0.0000,0.0000,,,0.0000,0.0000
5.6211,3,0.0000,0.0000,,,0.0000,0.0000
5.6850,3,0.0000,0.0000,,,0.0000,0.0000
5.7493,3,0.0000,0.0000,,,0.0000,0.0000
5.8292,3,0.0000,0.0000,,,0.0000,0.0000
5.8934,3,0.0000,0.0000,,,0.0000,0.0000
5.9571,3,0.0000,0.0000,,,0.0000,0.0000
6.0208,3,0.0000,0.0000,,,0.0000,0.0000
6.0855,3,0.0000,0.0000,,,0.0000,0.0000
6.1489,3,0.0000,0.0000,,,0.0000,0.0000
6.2294,3,0.0000,0.0000,,,0.0000,0.0000
6.2926,3,0.0000,0.0000,,,0.0000,0.0000
6.3573,3,0.0000,0.0000,,,0.0000,0.0000
6.4207,3,0.0000,0.0000,,,0.0000,0.0000
6.4853,3,0.0000,0.0000,,,0.0000,0.0000
6.5496,3,0.0000,0.0000,,,0.0000,0.0000
6.6291,3,0.0000,0.0000,,,0.0000,0.0000
6.6931,3,0.0000,0.0000,,,0.0000,0.0000
6.7566,3,0.0000,0.0000,,,0.0000,0.0000
6.8213,3,0.0000,0.0000,,,0.0000,0.0000
