t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0244,3,0.0000,0.0000,,,0.0000,0.0000
0.0722,3,0.0000,0.0000,,,0.0000,0.0000
0.1526,3,0.0000,0.0000,,,0.0000,0.0000
0.2329,3,0.0000,0.0000,,,0.0000,0.0000
0.2808,3,0.0000,0.0000,,,0.0000,0.0000
0.3446,3,0.0000,0.0000,,,0.0000,0.0000
0.4243,3,0.0000,0.0000,,,0.0000,0.0000
0.4727,3,0.0000,0.0000,,,0.0000,0.0000
0.5527,3,0.0000,0.0000,,,0.0000,0.0000
0.6330,3,0.0000,0.0000,,,0.0000,0.0000
0.6805,3,0.0000,0.0000,,,0.0000,0.0000
0.7445,3,0.0000,0.0000,,,0.0000,0.0000
0.8244,3,0.0000,0.0000,,,0.0000,0.0000
0.8725,3,0.0000,0.0000,,,0.0000,0.0000
0.9526,3,0.0000,0.0000,,,0.0000,0.0000
1.0321,3,0.0000,0.0000,,,0.0000,0.0000
1.0803,3,0.0000,0.0000,,,0.0000,0.0000
1.1451,3,0.0000,0.0000,,,0.0000,0.0000
1.2247,3,0.0000,0.0000,,,0.0000,0.0000
1.2887,3,0.0000,0.0000,,,0.0000,0.0000
1.3529,3,0.0000,0.0000,,,0.0000,0.0000
1.4328,3,0.0000,0.0000,,,0.0000,0.0000
1.4803,3,0.0000,0.0000,,,0.0000,0.0000
1.5448,3,0.0000,0.0000,,,0.0000,0.0000
1.6243,3,0.0000,0.0000,,,0.0000,0.0000
1.6885,3,0.0000,0.0000,,,0.0000,0.0000
1.7530,3,0.0000,0.0000,,,0.0000,0.0000
1.8321,3,0.0000,0.0000,,,0.0000,0.0000
1.8803,3,0.0000,0.0000,,,0.0000,0.0000
1.9447,3,0.0000,0.0000,,,0.0000,0.0000
2.0251,3,0.0000,0.0000,,,0.0000,0.0000
2.0885,3,0.0000,0.0000,,,0.0000,0.0000
2.1531,3,0.0000,0.0000,,,0.0000,0.0000
2.2325,3,0.0000,0.0000,,,0.0000,0.0000
2.2804,3,0.0000,0.0000,,,0.0000,0.0000
2.3444,3,0.0000,0.0000,,,0.0000,0.0000
2.4406,4,0.0000,0.0000,,,0.0000,0.0000
2.4895,8,0.0000,0.0000,,,0.0000,0.0000
2.5538,8,0.0000,0.0000,,,0.0000,0.0000
2.6482,12,0.0000,0.0000,,,0.0000,0.0000
2.6806,17,0.0000,0.0000,,,0.0000,0.0000
2.7453,24,0.0000,0.0000,,,0.0000,0.0000
2.8246,25,0.0000,0.0000,,,0.0000,0.0000
2.8890,28,0.0000,0.0000,,,0.0000,0.0000
2.9528,31,0.0000,0.0000,,,0.0000,0.0000
3.0324,32,0.0000,0.0000,,,0.0000,0.0000
3.0807,35,0.0000,0.0000,,,0.0000,0.0000
3.1441,36,0.0000,0.0000,,,0.0000,0.0000
3.2243,39,0.0000,0.0000,,,0.0000,0.0000
3.2883,39,0.0000,0.0000,,,0.0000,0.0000
