t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0194,3,0.0000,0.0000,,,0.0000,0.0000
0.0831,3,0.0000,0.0000,,,0.0000,0.0000
0.1468,3,0.0000,0.0000,,,0.0000,0.0000
0.2109,3,0.0000,0.0000,,,0.0000,0.0000
0.2751,3,0.0000,0.0000,,,0.0000,0.0000
0.3546,3,0.0000,0.0000,,,0.0000,0.0000
0.4192,3,0.0000,0.0000,,,0.0000,0.0000
0.4827,3,0.0000,0.0000,,,0.0000,0.0000
0.5474,3,0.0000,0.0000,,,0.0000,0.0000
0.6109,3,0.0000,0.0000,,,0.0000,0.0000
0.6755,3,0.0000,0.0000,,,0.0000,0.0000
0.7551,3,0.0000,0.0000,,,0.0000,0.0000
0.8198,3,0.0000,0.0000,,,0.0000,0.0000
0.8832,3,0.0000,0.0000,,,0.0000,0.0000
0.9468,3,0.0000,0.0000,,,0.0000,0.0000
1.0114,3,0.0000,0.0000,,,0.0000,0.0000
1.0749,3,0.0000,0.0000,,,0.0000,0.0000
1.1556,3,0.0000,0.0000,,,0.0000,0.0000
1.2191,3,0.0000,0.0000,,,0.0000,0.0000
1.2829,3,0.0000,0.0000,,,0.0000,0.0000
1.3470,3,0.0000,0.0000,,,0.0000,0.0000
1.4112,3,0.0000,0.0000,,,0.0000,0.0000
1.4913,3,0.0000,0.0000,,,0.0000,0.0000
1.5557,3,0.0000,0.0000,,,0.0000,0.0000
1.6191,3,0.0000,0.0000,,,0.0000,0.0000
1.6827,3,0.0000,0.0000,,,0.0000,0.0000
1.7473,3,0.0000,0.0000,,,0.0000,0.0000
1.8108,3,0.0000,0.0000,,,0.0000,0.0000
1.8909,3,0.0000,0.0000,,,0.0000,0.0000
1.9558,3,0.0000,0.0000,,,0.0000,0.0000
2.0190,3,0.0000,0.0000,,,0.0000,0.0000
2.0836,3,0.0000,0.0000,,,0.0000,0.0000
2.1471,3,0.0000,0.0000,,,0.0000,0.0000
2.2108,3,0.0000,0.0000,,,0.0000,0.0000
2.2909,3,0.0000,0.0000,,,0.0000,0.0000
2.3554,3,0.0000,0.0000,,,0.0000,0.0000
2.4189,3,0.0000,0.0000,,,0.0000,0.0000
2.4832,3,0.0000,0.0000,,,0.0000,0.0000
2.5469,3,0.0000,0.0000,,,0.0000,0.0000
2.6113,3,0.0000,0.0000,,,0.0000,0.0000
2.6914,3,0.0000,0.0000,,,0.0000,0.0000
2.7551,3,0.0000,0.0000,,,0.0000,0.0000
2.8192,6,0.0000,0.0000,,,0.0000,0.0000
2.8830,5,0.0000,0.0000,,,0.0000,0.0000
2.9473,3,0.0000,0.0000,,,0.0000,0.0000
3.0275,3,0.0000,0.0000,,,0.0000,0.0000
3.0908,3,0.0000,0.0000,,,0.0000,0.0000
3.1554,3,0.0000,0.0000,,,0.0000,0.0000
3.2187,7,0.0000,0.0000,,,0.0000,0.0000
3.2835,12,0.0000,0.0000,,,0.0000,0.0000
3.3470,15,0.0000,0.0000,,,0.0000,0.0000
3.4268,15,0.0000,0.0000,,,0.0000,0.0000
3.4908,10,0.0000,0.0000,,,0.0000,0.0000
3.5550,10,0.0000,0.0000,,,0.0000,0.0000
3.6355,12,0.0000,0.0000,,,0.0000,0.0000
