t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0102,3,0.0000,0.0000,,,0.0000,0.0000
0.0733,3,0.0000,0.0000,,,0.0000,0.0000
0.1524,3,0.0000,0.0000,,,0.0000,0.0000
0.2176,3,0.0000,0.0000,,,0.0000,0.0000
0.2814,3,0.0000,0.0000,,,0.0000,0.0000
0.3608,3,0.0000,0.0000,,,0.0000,0.0000
0.4092,3,0.0000,0.0000,,,0.0000,0.0000
0.4741,3,0.0000,0.0000,,,0.0000,0.0000
0.5534,3,0.0000,0.0000,,,0.0000,0.0000
0.6173,3,0.0000,0.0000,,,0.0000,0.0000
0.6804,3,0.0000,0.0000,,,0.0000,0.0000
0.7610,3,0.0000,0.0000,,,0.0000,0.0000
0.8090,3,0.0000,0.0000,,,0.0000,0.0000
0.8726,3,0.0000,0.0000,,,0.0000,0.0000
0.9693,5,0.0000,0.0000,,,0.0000,0.0000
1.0170,9,0.0000,0.0000,,,0.0000,0.0000
1.0812,9,0.0000,0.0000,,,0.0000,0.0000
1.1607,22,0.0000,0.0000,,,0.0000,0.0000
1.2094,40,0.0000,0.0000,,,0.0000,0.0000
1.2730,44,0.0000,0.0000,,,0.0000,0.0000
1.3688,56,0.0000,0.0000,,,0.0000,0.0000
1.4173,72,0.0000,0.0000,,,0.0000,0.0000
1.4805,95,0.0000,0.0000,,,0.0000,0.0000
1.5605,102,0.0000,295.7797,,,0.0000,0.3127
1.6087,105,0.0000,10.1583,,,0.0000,0.1105
1.6733,121,3840.2109,3372.6313,,,0.5782,0.5960
1.7693,126,19427.0312,27236.4629,,,0.8552,0.9842
1.8166,126,18376.7812,27465.9961,,,0.8552,0.9842
1.8811,131,17096.2207,27218.7539,,,0.8552,0.9842
1.9604,133,19167.2090,25270.7754,,,0.8552,0.9842
2.0092,133,19958.7891,25082.5918,,,0.8552,0.9842
2.0892,133,19889.9785,24938.5039,,,0.8552,0.9842
2.1684,133,20036.6250,25002.3281,,,0.8552,0.9842
2.2167,133,19987.5801,24980.0703,,,0.8552,0.9842
2.2809,132,20012.3809,24849.3594,,,0.8552,0.9842
2.3605,128,18788.7188,22256.6309,,,0.8552,0.9842
