t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0144,3,0.0000,0.0000,,,0.0000,0.0000
0.0787,3,0.0000,0.0000,,,0.0000,0.0000
0.1424,3,0.0000,0.0000,,,0.0000,0.0000
0.2057,3,0.0000,0.0000,,,0.0000,0.0000
0.2867,3,0.0000,0.0000,,,0.0000,0.0000
0.3503,3,0.0000,0.0000,,,0.0000,0.0000
0.4145,3,0.0000,0.0000,,,0.0000,0.0000
0.4782,3,0.0000,0.0000,,,0.0000,0.0000
0.5418,3,0.0000,0.0000,,,0.0000,0.0000
0.6062,3,0.0000,0.0000,,,0.0000,0.0000
0.6858,3,0.0000,0.0000,,,0.0000,0.0000
0.7507,3,0.0000,0.0000,,,0.0000,0.0000
0.8156,3,0.0000,0.0000,,,0.0000,0.0000
0.8785,3,0.0000,0.0000,,,0.0000,0.0000
0.9423,3,0.0000,0.0000,,,0.0000,0.0000
1.0218,3,0.0000,0.0000,,,0.0000,0.0000
1.0861,3,0.0000,0.0000,,,0.0000,0.0000
1.1503,3,0.0000,0.0000,,,0.0000,0.0000
1.2146,6,0.0000,0.0000,,,0.0000,0.0000
1.2936,7,0.0000,0.0000,,,0.0000,0.0000
1.3584,15,0.0000,0.0000,,,0.0000,0.0000
1.4222,33,0.0000,0.0000,,,0.0000,0.0000
1.4858,56,0.0000,0.0000,,,0.0000,0.0000
1.5497,77,0.0000,0.0000,,,0.0000,0.0000
1.6140,98,0.0000,0.0000,,,0.0000,0.0000
1.6775,116,0.0000,0.0000,,,0.0000,0.0000
1.7422,123,4635.5459,5202.1099,,,0.5155,0.7116
1.8218,123,19329.0723,35740.7578,,,0.8552,0.9842
1.8857,119,19329.0723,36640.0234,,,0.8552,0.9842
1.9499,116,19771.2363,36640.0234,,,0.8552,0.9842
2.0135,116,13250.8203,21224.5723,,,0.8158,0.9842
2.0780,112,12048.9209,20443.8965,,,0.7972,0.9842
2.1577,111,7325.3071,15927.3848,,,0.6217,0.9842
2.2224,106,4628.9331,15076.9805,,,0.5439,0.9842
2.2870,105,4628.9331,6949.5342,,,0.5439,0.9099
2.3495,105,1897.8811,6949.5342,,,0.3826,0.9099
2.4140,105,1715.6189,5960.1611,,,0.3661,0.8962
2.4776,105,1770.7993,6066.2861,,,0.3782,0.8877
2.5591,105,1840.9254,6324.4526,,,0.3858,0.9023
2.6225,105,1905.8210,6500.3901,,,0.3856,0.9032
2.6858,105,1905.8210,6500.3901,,,0.3856,0.9032
2.7659,97,1890.0233,3793.6265,,,0.3896,0.5961
2.8142,83,1890.0233,3793.6265,,,0.3896,0.5961
2.8944,63,0.0000,0.0000,,,0.0000,0.0000
2.9576,44,0.0000,0.0000,,,0.0000,0.0000
3.0222,25,0.0000,0.0000,,,0.0000,0.0000
3.1023,9,0.0000,0.0000,,,0.0000,0.0000
3.1502,9,0.0000,0.0000,,,0.0000,0.0000
3.2135,3,0.0000,0.0000,,,0.0000,0.0000
3.2791,3,0.0000,0.0000,,,0.0000,0.0000
3.3583,3,0.0000,0.0000,,,0.0000,0.0000
3.4223,3,0.0000,0.0000,,,0.0000,0.0000
3.4862,3,0.0000,0.0000,,,0.0000,0.0000
3.5496,3,0.0000,0.0000,,,0.0000,0.0000
3.6141,3,0.0000,0.0000,,,0.0000,0.0000
3.6775,3,0.0000,0.0000,,,0.0000,0.0000
3.7593,3,0.0000,0.0000,,,0.0000,0.0000
3.8221,3,0.0000,0.0000,,,0.0000,0.0000
3.8856,3,0.0000,0.0000,,,0.0000,0.0000
3.9502,3,0.0000,0.0000,,,0.0000,0.0000
4.0136,3,0.0000,0.0000,,,0.0000,0.0000
4.0939,3,0.0000,0.0000,,,0.0000,0.0000
4.1576,3,0.0000,0.0000,,,0.0000,0.0000
4.2220,3,0.0000,0.0000,,,0.0000,0.0000
4.2859,3,0.0000,0.0000,,,0.0000,0.0000
4.3500,3,0.0000,0.0000,,,0.0000,0.0000
4.4146,3,0.0000,0.0000,,,0.0000,0.0000
4.4943,3,0.0000,0.0000,,,0.0000,0.0000
4.5587,3,0.0000,0.0000,,,0.0000,0.0000
4.6217,3,0.0000,0.0000,,,0.0000,0.0000
4.6858,3,0.0000,0.0000,,,0.0000,0.0000
4.7497,3,0.0000,0.0000,,,0.0000,0.0000
4.8143,3,0.0000,0.0000,,,0.0000,0.0000
4.8941,3,0.0000,0.0000,,,0.0000,0.0000
4.9587,3,0.0000,0.0000,,,0.0000,0.0000
5.0220,3,0.0000,0.0000,,,0.0000,0.0000
5.0858,3,0.0000,0.0000,,,0.0000,0.0000
5.1496,3,0.0000,0.0000,,,0.0000,0.0000
5.2300,3,0.0000,0.0000,,,0.0000,0.0000
5.2949,3,0.0000,0.0000,,,0.0000,0.0000
5.3580,3,0.0000,0.0000,,,0.0000,0.0000
5.4226,3,0.0000,0.0000,,,0.0000,0.0000
5.4857,3,0.0000,0.0000,,,0.0000,0.0000
5.5505,3,0.0000,0.0000,,,0.0000,0.0000
5.6304,3,0.0000,0.0000,,,0.0000,0.0000
5.6951,3,0.0000,0.0000,,,0.0000,0.0000
5.7577,3,0.0000,0.0000,,,0.0000,0.0000
5.8220,3,0.0000,0.0000,,,0.0000,0.0000
5.8864,3,0.0000,0.0000,,,0.0000,0.0000
5.9500,3,0.0000,0.0000,,,0.0000,0.0000
6.0302,3,0.0000,0.0000,,,0.0000,0.0000
6.0937,3,0.0000,0.0000,,,0.0000,0.0000
6.1581,3,0.0000,0.0000,,,0.0000,0.0000
6.2218,3,0.0000,0.0000,,,0.0000,0.0000
6.2859,3,0.0000,0.0000,,,0.0000,0.0000
6.3653,3,0.0000,0.0000,,,0.0000,0.0000
6.4296,3,0.0000,0.0000,,,0.0000,0.0000
6.4945,3,0.0000,0.0000,,,0.0000,0.0000
6.5582,3,0.0000,0.0000,,,0.0000,0.0000
6.6216,3,0.0000,0.0000,,,0.0000,0.0000
6.6857,3,0.0000,0.0000,,,0.0000,0.0000
6.7659,3,0.0000,0.0000,,,0.0000,0.0000
6.8307,3,0.0000,0.0000,,,0.0000,0.0000
6.8942,3,0.0000,0.0000,,,0.0000,0.0000
6.9578,3,0.0000,0.0000,,,0.0000,0.0000
7.0225,3,0.0000,0.0000,,,0.0000,0.0000
7.0855,3,0.0000,0.0000,,,0.0000,0.0000
7.1656,3,0.0000,0.0000,,,0.0000,0.0000
