t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0112,8,0.0000,0.0000,,,0.0000,0.0000
0.0746,8,0.0000,0.0000,,,0.0000,0.0000
0.1394,8,0.0000,0.0000,,,0.0000,0.0000
0.2203,8,0.0000,0.0000,,,0.0000,0.0000
0.2833,8,0.0000,0.0000,,,0.0000,0.0000
0.3474,8,0.0000,0.0000,,,0.0000,0.0000
0.4114,7,0.0000,0.0000,,,0.0000,0.0000
0.4750,4,0.0000,0.0000,,,0.0000,0.0000
0.5551,4,0.0000,0.0000,,,0.0000,0.0000
0.6187,4,0.0000,0.0000,,,0.0000,0.0000
0.6832,11,0.0000,0.0000,,,0.0000,0.0000
0.7473,14,0.0000,0.0000,,,0.0000,0.0000
0.8109,14,0.0000,0.0000,,,0.0000,0.0000
0.8753,19,0.0000,0.0000,,,0.0000,0.0000
0.9550,23,0.0000,0.0000,,,0.0000,0.0000
1.0185,31,0.0000,0.0000,,,0.0000,0.0000
1.0986,34,0.0000,0.0000,,,0.0000,0.0000
1.1467,41,0.0000,0.0000,,,0.0000,0.0000
1.2113,43,0.0000,0.0000,,,0.0000,0.0000
1.2911,47,0.0000,0.0000,,,0.0000,0.0000
1.3555,47,0.0000,0.0000,,,0.0000,0.0000
1.4190,53,0.0000,0.0000,,,0.0000,0.0000
1.4996,53,0.0000,0.0000,,,0.0000,0.0000
1.5473,65,0.0000,0.0000,,,0.0000,0.0000
1.6107,70,0.0000,0.0000,,,0.0000,0.0000
1.6923,74,0.0000,0.0000,,,0.0000,0.0000
1.7548,86,0.0000,0.0000,,,0.0000,0.0000
1.8212,89,0.0000,0.0000,,,0.0000,0.0000
1.8846,91,0.0000,0.0000,,,0.0000,0.0000
1.9481,92,0.0000,0.0000,,,0.0000,0.0000
2.0113,93,0.0000,0.0000,,,0.0000,0.0000
2.0914,98,0.0000,0.0000,,,0.0000,0.0000
2.1547,98,0.0000,0.0000,,,0.0000,0.0000
2.2191,103,0.0000,0.0000,,,0.0000,0.0000
2.2835,104,0.0000,0.0000,,,0.0000,0.0000
2.3472,104,0.0000,0.0000,,,0.0000,0.0000
2.4108,108,0.0000,0.0000,,,0.0000,0.0000
2.4905,108,0.0000,0.0000,,,0.0000,0.0000
2.5547,108,0.0000,0.0000,,,0.0000,0.0000
2.6194,104,0.0000,0.0000,,,0.0000,0.0000
2.6831,104,0.0000,0.0000,,,0.0000,0.0000
2.7465,104,0.0000,0.0000,,,0.0000,0.0000
2.8111,108,0.0000,0.0000,,,0.0000,0.0000
2.9082,108,0.0000,0.0000,,,0.0000,0.0000
2.9548,112,0.0000,0.0000,,,0.0000,0.0000
3.0194,112,0.0000,0.0000,,,0.0000,0.0000
3.0835,112,0.0000,0.0000,,,0.0000,0.0000
3.1474,112,0.0000,0.0000,,,0.0000,0.0000
3.2109,112,0.0000,0.0000,,,0.0000,0.0000
3.3073,113,0.0000,0.0000,,,0.0000,0.0000
3.3571,116,0.0000,0.0000,,,0.0000,0.0000
3.4193,116,5.5308,0.0000,,,0.1497,0.0000
3.4833,116,8.8040,0.0000,,,0.1518,0.0000
3.5473,119,7.2993,0.0000,,,0.1477,0.0000
3.6115,120,14.3458,704.1982,,,0.1599,0.2479
3.6908,120,3851.1289,2480.8318,,,0.3928,0.3779
3.7548,120,3776.7241,2387.2778,,,0.3929,0.3779
3.8195,116,3803.7778,2510.2041,,,0.3928,0.3780
3.8830,116,978.4149,0.0000,,,0.2019,0.0000
3.9473,111,89.8666,0.0000,,,0.1632,0.0000
4.0273,109,0.0000,0.0000,,,0.0000,0.0000
4.0906,98,0.0000,0.0000,,,0.0000,0.0000
4.1552,96,0.0000,0.0000,,,0.0000,0.0000
4.2188,94,0.0000,0.0000,,,0.0000,0.0000
4.2996,77,0.0000,0.0000,,,0.0000,0.0000
4.3474,67,0.0000,0.0000,,,0.0000,0.0000
4.4270,67,0.0000,0.0000,,,0.0000,0.0000
4.5080,55,0.0000,0.0000,,,0.0000,0.0000
4.5550,47,0.0000,0.0000,,,0.0000,0.0000
4.6193,45,0.0000,0.0000,,,0.0000,0.0000
4.6994,42,0.0000,0.0000,,,0.0000,0.0000
4.7634,41,0.0000,0.0000,,,0.0000,0.0000
4.8276,35,0.0000,0.0000,,,0.0000,0.0000
4.8915,33,0.0000,0.0000,,,0.0000,0.0000
4.9567,37,0.0000,0.0000,,,0.0000,0.0000
5.0190,37,0.0000,0.0000,,,0.0000,0.0000
5.0836,36,0.0000,0.0000,,,0.0000,0.0000
5.1637,36,0.0000,0.0000,,,0.0000,0.0000
5.2272,36,0.0000,0.0000,,,0.0000,0.0000
5.2911,36,0.0000,0.0000,,,0.0000,0.0000
5.3552,36,0.0000,0.0000,,,0.0000,0.0000
5.4187,32,0.0000,0.0000,,,0.0000,0.0000
5.4995,32,0.0000,0.0000,,,0.0000,0.0000
5.5633,32,0.0000,0.0000,,,0.0000,0.0000
5.6266,32,0.0000,0.0000,,,0.0000,0.0000
5.7086,32,0.0000,0.0000,,,0.0000,0.0000
5.7557,42,0.0000,0.0000,,,0.0000,0.0000
5.8193,44,0.0000,0.0000,,,0.0000,0.0000
5.8988,44,0.0000,0.0000,,,0.0000,0.0000
5.9636,43,0.0000,0.0000,,,0.0000,0.0000
6.0271,43,0.0000,0.0000,,,0.0000,0.0000
6.0915,43,0.0000,0.0000,,,0.0000,0.0000
6.1554,43,0.0000,0.0000,,,0.0000,0.0000
6.2187,43,0.0000,0.0000,,,0.0000,0.0000
6.2986,43,0.0000,0.0000,,,0.0000,0.0000
6.3626,43,0.0000,0.0000,,,0.0000,0.0000
6.4267,43,0.0000,0.0000,,,0.0000,0.0000
6.4923,40,0.0000,0.0000,,,0.0000,0.0000
6.5549,39,0.0000,0.0000,,,0.0000,0.0000
6.6198,39,0.0000,0.0000,,,0.0000,0.0000
6.6994,39,0.0000,0.0000,,,0.0000,0.0000
6.7630,39,0.0000,0.0000,,,0.0000,0.0000
6.8275,39,0.0000,0.0000,,,0.0000,0.0000
6.8908,39,0.0000,0.0000,,,0.0000,0.0000
6.9554,39,0.0000,0.0000,,,0.0000,0.0000
7.0351,39,0.0000,0.0000,,,0.0000,0.0000
7.0986,39,0.0000,0.0000,,,0.0000,0.0000
7.1635,39,0.0000,0.0000,,,0.0000,0.0000
7.2269,39,0.0000,0.0000,,,0.0000,0.0000
7.2916,39,0.0000,0.0000,,,0.0000,0.0000
7.3551,39,0.0000,0.0000,,,0.0000,0.0000
7.4348,39,0.0000,0.0000,,,0.0000,0.0000
7.4994,39,0.0000,0.0000,,,0.0000,0.0000
7.5634,39,0.0000,0.0000,,,0.0000,0.0000
7.6276,39,0.0000,0.0000,,,0.0000,0.0000
7.6908,39,0.0000,0.0000,,,0.0000,0.0000
7.7555,39,0.0000,0.0000,,,0.0000,0.0000
7.8350,39,0.0000,0.0000,,,0.0000,0.0000
7.8996,39,0.0000,0.0000,,,0.0000,0.0000
7.9633,39,0.0000,0.0000,,,0.0000,0.0000
8.0277,39,0.0000,0.0000,,,0.0000,0.0000
8.0912,39,0.0000,0.0000,,,0.0000,0.0000
8.1548,39,0.0000,0.0000,,,0.0000,0.0000
8.2354,39,0.0000,0.0000,,,0.0000,0.0000
8.2992,39,0.0000,0.0000,,,0.0000,0.0000
8.3636,39,0.0000,0.0000,,,0.0000,0.0000
8.4271,39,0.0000,0.0000,,,0.0000,0.0000
8.4916,39,0.0000,0.0000,,,0.0000,0.0000
8.5552,39,0.0000,0.0000,,,0.0000,0.0000
8.6348,39,0.0000,0.0000,,,0.0000,0.0000
8.6992,39,0.0000,0.0000,,,0.0000,0.0000
8.7628,39,0.0000,0.0000,,,0.0000,0.0000
8.8275,39,0.0000,0.0000,,,0.0000,0.0000
8.8910,39,0.0000,0.0000,,,0.0000,0.0000
8.9556,39,0.0000,0.0000,,,0.0000,0.0000
9.0351,39,0.0000,0.0000,,,0.0000,0.0000
9.0996,39,0.0000,0.0000,,,0.0000,0.0000
9.1633,39,0.0000,0.0000,,,0.0000,0.0000
9.2269,39,0.0000,0.0000,,,0.0000,0.0000
9.2914,39,0.0000,0.0000,,,0.0000,0.0000
9.3710,39,0.0000,0.0000,,,0.0000,0.0000
9.4355,39,0.0000,0.0000,,,0.0000,0.0000
