t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0133,3,0.0000,0.0000,,,0.0000,0.0000
0.0766,3,0.0000,0.0000,,,0.0000,0.0000
0.1406,3,0.0000,0.0000,,,0.0000,0.0000
0.2051,3,0.0000,0.0000,,,0.0000,0.0000
0.2846,3,0.0000,0.0000,,,0.0000,0.0000
0.3482,3,0.0000,0.0000,,,0.0000,0.0000
0.4132,3,0.0000,0.0000,,,0.0000,0.0000
0.4765,3,0.0000,0.0000,,,0.0000,0.0000
0.5413,3,0.0000,0.0000,,,0.0000,0.0000
0.6212,7,0.0000,0.0000,,,0.0000,0.0000
0.6853,7,0.0000,0.0000,,,0.0000,0.0000
0.7484,11,0.0000,0.0000,,,0.0000,0.0000
0.8123,11,0.0000,0.0000,,,0.0000,0.0000
0.8766,13,0.0000,0.0000,,,0.0000,0.0000
0.9567,24,0.0000,0.0000,,,0.0000,0.0000
1.0207,26,0.0000,0.0000,,,0.0000,0.0000
1.0846,31,0.0000,0.0000,,,0.0000,0.0000
1.1489,38,0.0000,0.0000,,,0.0000,0.0000
1.2293,38,0.0000,0.0000,,,0.0000,0.0000
1.2770,49,0.0000,0.0000,,,0.0000,0.0000
1.3568,52,0.0000,0.0000,,,0.0000,0.0000
1.4203,52,0.0000,0.0000,,,0.0000,0.0000
1.4848,56,0.0000,0.0000,,,0.0000,0.0000
1.5493,57,0.0000,0.0000,,,0.0000,0.0000
1.6284,62,0.0000,0.0000,,,0.0000,0.0000
1.6763,62,0.0000,0.0000,,,0.0000,0.0000
1.7569,66,0.0000,0.0000,,,0.0000,0.0000
1.8208,67,0.0000,0.0000,,,0.0000,0.0000
1.8843,73,0.0000,0.0000,,,0.0000,0.0000
1.9484,73,0.0000,0.0000,,,0.0000,0.0000
2.0124,77,0.0000,0.0000,,,0.0000,0.0000
2.0927,77,0.0000,0.0000,,,0.0000,0.0000
2.1565,82,0.0000,0.0000,,,0.0000,0.0000
2.2210,82,0.0000,0.0000,,,0.0000,0.0000
2.2849,86,0.0000,0.0000,,,0.0000,0.0000
2.3483,86,0.0000,0.0000,,,0.0000,0.0000
2.4133,90,0.0000,0.0000,,,0.0000,0.0000
2.4766,91,0.0000,0.0000,,,0.0000,0.0000
2.5566,91,0.0000,0.0000,,,0.0000,0.0000
2.6204,93,0.0000,0.0000,,,0.0000,0.0000
2.6846,95,0.0000,0.0000,,,0.0000,0.0000
2.7490,99,0.0000,0.0000,,,0.0000,0.0000
2.8126,99,0.0000,0.0000,,,0.0000,0.0000
2.8931,99,0.0000,0.0000,,,0.0000,0.0000
2.9566,99,0.0000,0.0000,,,0.0000,0.0000
3.0202,99,0.0000,0.0000,,,0.0000,0.0000
3.0847,99,0.0000,0.0000,,,0.0000,0.0000
3.1483,99,0.0000,0.0000,,,0.0000,0.0000
3.2131,99,0.0000,0.0000,,,0.0000,0.0000
3.2924,100,0.0000,0.0000,,,0.0000,0.0000
3.3564,105,0.0000,0.0000,,,0.0000,0.0000
3.4206,106,0.0000,0.0000,,,0.0000,0.0000
3.4846,109,0.0000,0.0000,,,0.0000,0.0000
3.5494,112,0.0000,0.0000,,,0.0000,0.0000
3.6127,114,1437.8132,0.0000,,,0.3918,0.0000
3.6926,114,2565.7766,5996.0806,,,0.4583,0.5853
3.7568,114,2532.6089,6033.4092,,,0.4617,0.5667
3.8207,114,2568.0022,5877.7554,,,0.4646,0.5895
3.8844,114,2588.1765,5927.4580,,,0.4613,0.5811
3.9484,114,2609.9736,5878.5854,,,0.4642,0.5824
4.0132,114,2599.9131,5910.9014,,,0.4472,0.5780
4.0932,114,2613.4458,6009.2847,,,0.4576,0.5719
4.1571,109,2571.6589,5867.9766,,,0.4537,0.5823
4.2366,106,0.0000,984.9745,,,0.0000,0.3127
4.2853,105,0.0000,0.0000,,,0.0000,0.0000
4.3488,94,0.0000,0.0000,,,0.0000,0.0000
4.4286,93,0.0000,0.0000,,,0.0000,0.0000
4.4929,86,0.0000,0.0000,,,0.0000,0.0000
4.5565,79,0.0000,0.0000,,,0.0000,0.0000
4.6368,75,0.0000,0.0000,,,0.0000,0.0000
4.6849,63,0.0000,0.0000,,,0.0000,0.0000
4.7655,42,0.0000,0.0000,,,0.0000,0.0000
4.8133,24,0.0000,0.0000,,,0.0000,0.0000
4.8928,10,0.0000,0.0000,,,0.0000,0.0000
4.9570,10,0.0000,0.0000,,,0.0000,0.0000
5.0209,6,0.0000,0.0000,,,0.0000,0.0000
5.0852,5,0.0000,0.0000,,,0.0000,0.0000
5.1492,3,0.0000,0.0000,,,0.0000,0.0000
5.2288,3,0.0000,0.0000,,,0.0000,0.0000
5.2932,3,0.0000,0.0000,,,0.0000,0.0000
5.3572,3,0.0000,0.0000,,,0.0000,0.0000
5.4213,3,0.0000,0.0000,,,0.0000,0.0000
5.4847,3,0.0000,0.0000,,,0.0000,0.0000
5.5483,3,0.0000,0.0000,,,0.0000,0.0000
5.6289,3,0.0000,0.0000,,,0.0000,0.0000
5.6934,3,0.0000,0.0000,,,0.0000,0.0000
5.7567,3,0.0000,0.0000,,,0.0000,0.0000
5.8209,3,0.0000,0.0000,,,0.0000,0.0000
5.8853,3,0.0000,0.0000,,,0.0000,0.0000
5.9485,3,0.0000,0.0000,,,0.0000,0.0000
6.0286,3,0.0000,0.0000,,,0.0000,0.0000
6.0933,3,0.0000,0.0000,,,0.0000,0.0000
6.1566,3,0.0000,0.0000,,,0.0000,0.0000
6.2212,3,0.0000,0.0000,,,0.0000,0.0000
6.2847,3,0.0000,0.0000,,,0.0000,0.0000
6.3492,3,0.0000,0.0000,,,0.0000,0.0000
6.4292,3,0.0000,0.0000,,,0.0000,0.0000
6.4936,3,0.0000,0.0000,,,0.0000,0.0000
6.5570,3,0.0000,0.0000,,,0.0000,0.0000
6.6206,3,0.0000,0.0000,,,0.0000,0.0000
6.6851,3,0.0000,0.0000,,,0.0000,0.0000
