t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0165,3,0.0000,0.0000,,,0.0000,0.0000
0.0804,3,0.0000,0.0000,,,0.0000,0.0000
0.1443,3,0.0000,0.0000,,,0.0000,0.0000
0.2088,3,0.0000,0.0000,,,0.0000,0.0000
0.2724,3,0.0000,0.0000,,,0.0000,0.0000
0.3528,3,0.0000,0.0000,,,0.0000,0.0000
0.4164,3,0.0000,0.0000,,,0.0000,0.0000
0.4799,3,0.0000,0.0000,,,0.0000,0.0000
0.5445,3,0.0000,0.0000,,,0.0000,0.0000
0.6080,3,0.0000,0.0000,,,0.0000,0.0000
0.6725,3,0.0000,0.0000,,,0.0000,0.0000
0.7523,3,0.0000,0.0000,,,0.0000,0.0000
0.8165,3,0.0000,0.0000,,,0.0000,0.0000
0.8815,4,0.0000,0.0000,,,0.0000,0.0000
0.9449,6,0.0000,0.0000,,,0.0000,0.0000
1.0086,5,0.0000,0.0000,,,0.0000,0.0000
1.0880,5,0.0000,0.0000,,,0.0000,0.0000
1.1527,13,0.0000,0.0000,,,0.0000,0.0000
1.2161,17,0.0000,0.0000,,,0.0000,0.0000
1.2800,24,0.0000,0.0000,,,0.0000,0.0000
1.3446,31,0.0000,0.0000,,,0.0000,0.0000
1.4080,33,0.0000,0.0000,,,0.0000,0.0000
1.4889,41,0.0000,0.0000,,,0.0000,0.0000
1.5522,42,0.0000,0.0000,,,0.0000,0.0000
1.6161,44,0.0000,0.0000,,,0.0000,0.0000
1.6817,48,0.0000,0.0000,,,0.0000,0.0000
1.7608,49,0.0000,0.0000,,,0.0000,0.0000
1.8087,55,0.0000,0.0000,,,0.0000,0.0000
1.8884,56,0.0000,0.0000,,,0.0000,0.0000
1.9529,61,0.0000,0.0000,,,0.0000,0.0000
2.0166,63,0.0000,0.0000,,,0.0000,0.0000
2.0828,63,0.0000,0.0000,,,0.0000,0.0000
2.1447,68,0.0000,0.0000,,,0.0000,0.0000
2.2082,68,0.0000,0.0000,,,0.0000,0.0000
2.2885,69,0.0000,0.0000,,,0.0000,0.0000
2.3525,72,0.0000,0.0000,,,0.0000,0.0000
2.4162,75,0.0000,0.0000,,,0.0000,0.0000
2.4835,78,0.0000,0.0000,,,0.0000,0.0000
2.5449,79,0.0000,0.0000,,,0.0000,0.0000
2.6243,84,0.0000,0.0000,,,0.0000,0.0000
2.6885,87,0.0000,0.0000,,,0.0000,0.0000
2.7527,92,0.0000,0.0000,,,0.0000,0.0000
2.8162,96,0.0000,0.0000,,,0.0000,0.0000
2.8808,97,0.0000,0.0000,,,0.0000,0.0000
2.9458,101,0.0000,0.0000,,,0.0000,0.0000
3.0245,102,0.0000,0.0000,,,0.0000,0.0000
3.0885,105,0.0000,0.0000,,,0.0000,0.0000
3.1526,108,0.0000,0.0000,,,0.0000,0.0000
3.2167,108,0.0000,0.0000,,,0.0000,0.0000
3.2803,114,2.1819,0.0000,,,0.1299,0.0000
3.3609,114,5696.3076,30.8930,,,0.5045,0.1635
3.4249,118,6029.2319,168.2874,,,0.5172,0.3554
3.4884,132,12371.2666,4546.9565,,,0.7714,0.5329
3.5685,137,36091.7305,42508.5039,,,0.8552,0.9842
3.6161,137,37980.3906,42508.5039,,,0.8552,0.9842
3.6807,137,37951.7383,43781.0781,,,0.8552,0.9842
3.7442,137,35983.3516,43159.4531,,,0.8552,0.9842
3.8241,137,36292.5820,36846.2422,,,0.8552,0.9842
3.8886,137,36228.2148,36662.5352,,,0.8552,0.9842
3.9525,137,36266.8398,36662.5352,,,0.8552,0.9842
4.0167,137,36230.1992,36413.2461,,,0.8552,0.9842
4.0802,137,36293.5938,36204.8086,,,0.8552,0.9842
4.1614,127,32775.2734,34179.5156,,,0.8552,0.9842
4.2249,109,14078.0635,0.0000,,,0.8086,0.0000
4.2885,100,1036.1191,0.0000,,,0.2787,0.0000
4.3528,100,243.2810,0.0000,,,0.1675,0.0000
4.4163,91,1.8914,0.0000,,,0.1216,0.0000
4.4806,89,0.0000,0.0000,,,0.0000,0.0000
4.5612,89,0.0000,0.0000,,,0.0000,0.0000
4.6250,85,0.0000,0.0000,,,0.0000,0.0000
4.6895,83,0.0000,0.0000,,,0.0000,0.0000
