t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0099,3,0.0000,0.0000,,,0.0000,0.0000
0.0904,3,0.0000,0.0000,,,0.0000,0.0000
0.1381,3,0.0000,0.0000,,,0.0000,0.0000
0.2190,3,0.0000,0.0000,,,0.0000,0.0000
0.2823,3,0.0000,0.0000,,,0.0000,0.0000
0.3462,3,0.0000,0.0000,,,0.0000,0.0000
0.4103,3,0.0000,0.0000,,,0.0000,0.0000
0.4912,3,0.0000,0.0000,,,0.0000,0.0000
0.5388,3,0.0000,0.0000,,,0.0000,0.0000
0.6199,3,0.0000,0.0000,,,0.0000,0.0000
0.6820,3,0.0000,0.0000,,,0.0000,0.0000
0.7462,3,0.0000,0.0000,,,0.0000,0.0000
0.8121,3,0.0000,0.0000,,,0.0000,0.0000
0.8903,3,0.0000,0.0000,,,0.0000,0.0000
0.9540,3,0.0000,0.0000,,,0.0000,0.0000
1.0183,3,0.0000,0.0000,,,0.0000,0.0000
1.0825,3,0.0000,0.0000,,,0.0000,0.0000
1.1461,3,0.0000,0.0000,,,0.0000,0.0000
1.2108,3,0.0000,0.0000,,,0.0000,0.0000
1.2907,3,0.0000,0.0000,,,0.0000,0.0000
1.3541,3,0.0000,0.0000,,,0.0000,0.0000
1.4187,3,0.0000,0.0000,,,0.0000,0.0000
1.4824,3,0.0000,0.0000,,,0.0000,0.0000
1.5468,3,0.0000,0.0000,,,0.0000,0.0000
1.6103,3,0.0000,0.0000,,,0.0000,0.0000
1.6901,3,0.0000,0.0000,,,0.0000,0.0000
1.7552,3,0.0000,0.0000,,,0.0000,0.0000
1.8184,3,0.0000,0.0000,,,0.0000,0.0000
1.8820,3,0.0000,0.0000,,,0.0000,0.0000
1.9467,3,0.0000,0.0000,,,0.0000,0.0000
2.0102,3,0.0000,0.0000,,,0.0000,0.0000
2.0905,3,0.0000,0.0000,,,0.0000,0.0000
2.1548,3,0.0000,0.0000,,,0.0000,0.0000
2.2194,3,0.0000,0.0000,,,0.0000,0.0000
2.2821,3,0.0000,0.0000,,,0.0000,0.0000
2.3467,3,0.0000,0.0000,,,0.0000,0.0000
2.4110,3,0.0000,0.0000,,,0.0000,0.0000
2.4907,4,0.0000,0.0000,,,0.0000,0.0000
2.5541,6,0.0000,0.0000,,,0.0000,0.0000
2.6186,8,0.0000,0.0000,,,0.0000,0.0000
2.6824,26,0.0000,0.0000,,,0.0000,0.0000
2.7465,32,0.0000,0.0000,,,0.0000,0.0000
2.8102,35,0.0000,0.0000,,,0.0000,0.0000
2.8911,44,0.0000,0.0000,,,0.0000,0.0000
2.9546,45,0.0000,0.0000,,,0.0000,0.0000
3.0181,53,0.0000,0.0000,,,0.0000,0.0000
3.0988,56,0.0000,0.0000,,,0.0000,0.0000
3.1459,56,0.0000,0.0000,,,0.0000,0.0000
3.2106,61,0.0000,0.0000,,,0.0000,0.0000
3.3066,61,0.0000,0.0000,,,0.0000,0.0000
3.3547,68,0.0000,0.0000,,,0.0000,0.0000
3.4182,68,0.0000,0.0000,,,0.0000,0.0000
3.4982,80,0.0000,0.0000,,,0.0000,0.0000
3.5468,93,0.0000,0.0000,,,0.0000,0.0000
3.6100,93,0.0000,0.0000,,,0.0000,0.0000
3.7066,109,0.0000,0.0000,,,0.0000,0.0000
3.7544,124,0.0000,0.0000,,,0.0000,0.0000
3.8191,136,4031.7007,0.0000,,,0.5322,0.0000
3.8827,136,26378.1309,23669.1094,,,0.8552,0.9029
3.9464,138,32121.3594,33605.8984,,,0.8552,0.9842
4.0107,142,34118.9297,37507.0703,,,0.8552,0.9842
4.0907,144,36993.8242,47425.5156,,,0.8552,0.9842
4.1541,144,38937.0000,48016.4336,,,0.8552,0.9842
4.2186,144,39329.3984,48016.4336,,,0.8552,0.9842
4.2822,144,39383.8555,47925.7383,,,0.8552,0.9842
4.3468,144,39307.1602,47875.3086,,,0.8552,0.9842
4.4263,144,39340.1055,47503.5664,,,0.8552,0.9842
4.4903,144,39340.1055,47312.1719,,,0.8552,0.9842
4.5545,144,39378.2969,47382.4766,,,0.8552,0.9842
4.6191,144,39345.5586,47382.4766,,,0.8552,0.9842
4.6982,141,39408.4648,47353.8828,,,0.8552,0.9842
4.7466,141,39408.4648,47353.8828,,,0.8552,0.9842
4.8267,135,33335.4375,37275.7148,,,0.8552,0.9842
4.9067,114,16703.1465,5566.3887,,,0.8551,0.5849
4.9552,98,16703.1465,0.0000,,,0.8551,0.0000
5.0210,93,1364.4956,0.0000,,,0.3657,0.0000
5.0981,88,40.4512,0.0000,,,0.1603,0.0000
5.1631,73,0.0000,0.0000,,,0.0000,0.0000
5.2267,58,0.0000,0.0000,,,0.0000,0.0000
5.3063,57,0.0000,0.0000,,,0.0000,0.0000
5.3547,49,0.0000,0.0000,,,0.0000,0.0000
5.4188,34,0.0000,0.0000,,,0.0000,0.0000
5.4825,33,0.0000,0.0000,,,0.0000,0.0000
5.5621,25,0.0000,0.0000,,,0.0000,0.0000
5.6263,8,0.0000,0.0000,,,0.0000,0.0000
5.6902,7,0.0000,0.0000,,,0.0000,0.0000
