t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0142,3,0.0000,0.0000,,,0.0000,0.0000
0.0774,3,0.0000,0.0000,,,0.0000,0.0000
0.1420,3,0.0000,0.0000,,,0.0000,0.0000
0.2057,3,0.0000,0.0000,,,0.0000,0.0000
0.2860,3,0.0000,0.0000,,,0.0000,0.0000
0.3495,3,0.0000,0.0000,,,0.0000,0.0000
0.4137,3,0.0000,0.0000,,,0.0000,0.0000
0.4781,3,0.0000,0.0000,,,0.0000,0.0000
0.5420,3,0.0000,0.0000,,,0.0000,0.0000
0.6057,3,0.0000,0.0000,,,0.0000,0.0000
0.6862,3,0.0000,0.0000,,,0.0000,0.0000
0.7496,3,0.0000,0.0000,,,0.0000,0.0000
0.8140,3,0.0000,0.0000,,,0.0000,0.0000
0.8774,3,0.0000,0.0000,,,0.0000,0.0000
0.9419,3,0.0000,0.0000,,,0.0000,0.0000
1.0219,3,0.0000,0.0000,,,0.0000,0.0000
1.0855,15,0.0000,0.0000,,,0.0000,0.0000
1.1498,16,0.0000,0.0000,,,0.0000,0.0000
1.2144,18,0.0000,0.0000,,,0.0000,0.0000
1.2779,20,0.0000,0.0000,,,0.0000,0.0000
1.3422,26,0.0000,0.0000,,,0.0000,0.0000
1.4216,27,0.0000,0.0000,,,0.0000,0.0000
1.4855,31,0.0000,0.0000,,,0.0000,0.0000
1.5503,31,0.0000,0.0000,,,0.0000,0.0000
1.6140,42,0.0000,0.0000,,,0.0000,0.0000
1.6775,56,0.0000,0.0000,,,0.0000,0.0000
1.7578,56,0.0000,0.0000,,,0.0000,0.0000
1.8215,69,0.0000,0.0000,,,0.0000,0.0000
1.8869,76,0.0000,0.0000,,,0.0000,0.0000
1.9494,79,0.0000,0.0000,,,0.0000,0.0000
2.0142,97,0.0000,0.0000,,,0.0000,0.0000
2.0776,120,0.0000,0.0000,,,0.0000,0.0000
2.1579,143,0.0000,0.0000,,,0.0000,0.0000
2.2220,158,141.5586,0.0000,,,0.1651,0.0000
2.2854,159,414.5766,0.0000,,,0.3493,0.0000
2.3659,163,380.9396,0.0000,,,0.3436,0.0000
2.4144,163,381.1036,0.0000,,,0.3388,0.0000
2.4774,168,388.8237,0.0000,,,0.3380,0.0000
2.5581,169,470.1304,0.0000,,,0.3634,0.0000
2.6218,168,501.1688,0.0000,,,0.3814,0.0000
2.6857,163,508.2090,0.0000,,,0.3758,0.0000
2.7660,160,404.5312,0.0000,,,0.3597,0.0000
2.8144,147,404.2175,0.0000,,,0.3202,0.0000
2.8780,128,298.2011,0.0000,,,0.2760,0.0000
2.9581,108,0.0000,0.0000,,,0.0000,0.0000
3.0221,89,0.0000,0.0000,,,0.0000,0.0000
3.0855,69,0.0000,0.0000,,,0.0000,0.0000
3.1660,46,0.0000,0.0000,,,0.0000,0.0000
3.2139,30,0.0000,0.0000,,,0.0000,0.0000
3.2778,10,0.0000,0.0000,,,0.0000,0.0000
3.3579,2,0.0000,0.0000,,,0.0000,0.0000
3.4217,2,0.0000,0.0000,,,0.0000,0.0000
3.4856,3,0.0000,0.0000,,,0.0000,0.0000
3.5505,3,0.0000,0.0000,,,0.0000,0.0000
3.6134,3,0.0000,0.0000,,,0.0000,0.0000
3.6936,3,0.0000,0.0000,,,0.0000,0.0000
3.7580,3,0.0000,0.0000,,,0.0000,0.0000
3.8215,3,0.0000,0.0000,,,0.0000,0.0000
3.8862,3,0.0000,0.0000,,,0.0000,0.0000
3.9497,3,0.0000,0.0000,,,0.0000,0.0000
4.0134,3,0.0000,0.0000,,,0.0000,0.0000
4.0936,3,0.0000,0.0000,,,0.0000,0.0000
4.1584,3,0.0000,0.0000,,,0.0000,0.0000
4.2215,3,0.0000,0.0000,,,0.0000,0.0000
4.2862,3,0.0000,0.0000,,,0.0000,0.0000
4.3495,3,0.0000,0.0000,,,0.0000,0.0000
4.4139,3,0.0000,0.0000,,,0.0000,0.0000
4.4944,3,0.0000,0.0000,,,0.0000,0.0000
4.5584,3,0.0000,0.0000,,,0.0000,0.0000
4.6224,3,0.0000,0.0000,,,0.0000,0.0000
4.6863,3,0.0000,0.0000,,,0.0000,0.0000
