t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0065,25,0.0000,0.0000,,,0.0000,0.0000
0.0711,25,0.0000,0.0000,,,0.0000,0.0000
0.1503,25,0.0000,0.0000,,,0.0000,0.0000
0.2145,25,0.0000,0.0000,,,0.0000,0.0000
0.2785,25,0.0000,0.0000,,,0.0000,0.0000
0.3589,25,0.0000,0.0000,,,0.0000,0.0000
0.4062,25,0.0000,0.0000,,,0.0000,0.0000
0.4873,25,0.0000,0.0000,,,0.0000,0.0000
0.5504,25,0.0000,0.0000,,,0.0000,0.0000
0.6146,25,0.0000,0.0000,,,0.0000,0.0000
0.6792,25,0.0000,0.0000,,,0.0000,0.0000
0.7593,30,0.0000,0.0000,,,0.0000,0.0000
0.8063,31,0.0000,0.0000,,,0.0000,0.0000
0.8872,32,0.0000,0.0000,,,0.0000,0.0000
0.9669,36,0.0000,0.0000,,,0.0000,0.0000
1.0148,36,0.0000,0.0000,,,0.0000,0.0000
1.0783,46,0.0000,0.0000,,,0.0000,0.0000
1.1748,49,0.0000,0.0000,,,0.0000,0.0000
1.2064,50,0.0000,0.0000,,,0.0000,0.0000
1.2869,52,0.0000,0.0000,,,0.0000,0.0000
1.3667,62,0.0000,0.0000,,,0.0000,0.0000
1.4151,70,0.0000,0.0000,,,0.0000,0.0000
1.4791,72,0.0000,0.0000,,,0.0000,0.0000
1.5749,83,0.0000,0.0000,,,0.0000,0.0000
1.6071,87,0.0000,0.0000,,,0.0000,0.0000
1.6871,88,0.0000,0.0000,,,0.0000,0.0000
1.7664,108,0.0000,0.0000,,,0.0000,0.0000
1.8152,118,0.0000,0.0000,,,0.0000,0.0000
1.8783,119,0.0000,0.0000,,,0.0000,0.0000
1.9758,130,0.0000,0.0000,,,0.0000,0.0000
2.0230,134,0.0000,0.0000,,,0.0000,0.0000
2.0880,134,0.0000,0.0000,,,0.0000,0.0000
2.1667,147,0.0000,0.0000,,,0.0000,0.0000
2.2152,154,0.0000,1496.8231,,,0.0000,0.6352
2.2788,154,287.6316,2419.7026,,,0.3805,0.8545
2.3752,158,436.7690,2430.1624,,,0.4222,0.8365
2.4228,158,436.7690,2485.0674,,,0.4222,0.8498
2.4864,163,413.8383,2437.5171,,,0.3904,0.8692
2.5671,163,430.7227,2443.2188,,,0.4293,0.8291
2.6146,163,420.4757,2469.1577,,,0.4373,0.8363
2.6792,168,412.0088,2461.6709,,,0.4160,0.8522
2.7591,168,405.8643,2470.0918,,,0.4235,0.8321
2.8229,168,379.9271,2490.1353,,,0.4271,0.8253
2.8865,168,354.8654,2475.9297,,,0.4275,0.8454
2.9670,168,353.4741,2507.0208,,,0.4187,0.8465
3.0145,168,320.6370,2477.1277,,,0.4244,0.8043
3.0790,168,353.9418,2459.5581,,,0.3973,0.8550
3.1586,168,368.4183,2465.4673,,,0.3691,0.7988
3.2226,168,366.7447,2507.0093,,,0.4170,0.8185
3.2869,168,376.5249,2508.3757,,,0.4017,0.8321
3.3668,168,356.1373,2478.7986,,,0.4242,0.8316
3.4155,168,354.9598,2475.4248,,,0.4338,0.8203
3.4788,168,327.9280,2489.5564,,,0.4276,0.8391
3.5747,159,373.5693,2444.7007,,,0.4017,0.8076
3.6232,157,322.4644,2392.8152,,,0.4066,0.8430
3.6865,156,237.4573,2268.6052,,,0.3684,0.7683
3.7673,140,227.8272,2255.1560,,,0.3756,0.7756
3.8144,139,4.6055,717.9727,,,0.1508,0.4701
3.8803,138,0.0000,41.0841,,,0.0000,0.2010
3.9748,119,0.0000,11.2739,,,0.0000,0.1100
4.0232,106,0.0000,0.0000,,,0.0000,0.0000
4.0865,93,0.0000,0.0000,,,0.0000,0.0000
4.1667,91,0.0000,0.0000,,,0.0000,0.0000
4.2147,84,0.0000,0.0000,,,0.0000,0.0000
4.2783,83,0.0000,0.0000,,,0.0000,0.0000
4.3747,64,0.0000,0.0000,,,0.0000,0.0000
4.4227,57,0.0000,0.0000,,,0.0000,0.0000
4.4873,57,0.0000,0.0000,,,0.0000,0.0000
4.5825,38,0.0000,0.0000,,,0.0000,0.0000
4.6143,27,0.0000,0.0000,,,0.0000,0.0000
4.6788,17,0.0000,0.0000,,,0.0000,0.0000
4.7593,16,0.0000,0.0000,,,0.0000,0.0000
4.8233,4,0.0000,0.0000,,,0.0000,0.0000
4.8870,2,0.0000,0.0000,,,0.0000,0.0000
4.9675,2,0.0000,0.0000,,,0.0000,0.0000
5.0146,3,0.0000,0.0000,,,0.0000,0.0000
5.0787,3,0.0000,0.0000,,,0.0000,0.0000
5.1588,3,0.0000,0.0000,,,0.0000,0.0000
5.2227,3,0.0000,0.0000,,,0.0000,0.0000
5.2873,3,0.0000,0.0000,,,0.0000,0.0000
5.3670,3,0.0000,0.0000,,,0.0000,0.0000
5.4146,3,0.0000,0.0000,,,0.0000,0.0000
5.4945,3,0.0000,0.0000,,,0.0000,0.0000
5.5592,3,0.0000,0.0000,,,0.0000,0.0000
5.6236,3,0.0000,0.0000,,,0.0000,0.0000
5.6876,3,0.0000,0.0000,,,0.0000,0.0000
5.7674,3,0.0000,0.0000,,,0.0000,0.0000
5.8147,3,0.0000,0.0000,,,0.0000,0.0000
5.8954,3,0.0000,0.0000,,,0.0000,0.0000
5.9589,3,0.0000,0.0000,,,0.0000,0.0000
6.0231,3,0.0000,0.0000,,,0.0000,0.0000
6.0864,3,0.0000,0.0000,,,0.0000,0.0000
6.1670,3,0.0000,0.0000,,,0.0000,0.0000
6.2147,3,0.0000,0.0000,,,0.0000,0.0000
6.2946,3,0.0000,0.0000,,,0.0000,0.0000
6.3593,3,0.0000,0.0000,,,0.0000,0.0000
6.4232,3,0.0000,0.0000,,,0.0000,0.0000
6.4870,3,0.0000,0.0000,,,0.0000,0.0000
6.5668,3,0.0000,0.0000,,,0.0000,0.0000
6.6145,3,0.0000,0.0000,,,0.0000,0.0000
6.6947,3,0.0000,0.0000,,,0.0000,0.0000
6.7745,3,0.0000,0.0000,,,0.0000,0.0000
6.8235,3,0.0000,0.0000,,,0.0000,0.0000
6.8868,3,0.0000,0.0000,,,0.0000,0.0000
6.9673,3,0.0000,0.0000,,,0.0000,0.0000
7.0146,3,0.0000,0.0000,,,0.0000,0.0000
7.0947,3,0.0000,0.0000,,,0.0000,0.0000
7.1743,3,0.0000,0.0000,,,0.0000,0.0000
7.2228,3,0.0000,0.0000,,,0.0000,0.0000
7.2873,3,0.0000,0.0000,,,0.0000,0.0000
7.3670,3,0.0000,0.0000,,,0.0000,0.0000
7.4311,3,0.0000,0.0000,,,0.0000,0.0000
7.4952,3,0.0000,0.0000,,,0.0000,0.0000
7.5754,3,0.0000,0.0000,,,0.0000,0.0000
7.6226,3,0.0000,0.0000,,,0.0000,0.0000
7.6870,3,0.0000,0.0000,,,0.0000,0.0000
7.7665,3,0.0000,0.0000,,,0.0000,0.0000
7.8307,3,0.0000,0.0000,,,0.0000,0.0000
7.8950,3,0.0000,0.0000,,,0.0000,0.0000
7.9747,3,0.0000,0.0000,,,0.0000,0.0000
8.0230,3,0.0000,0.0000,,,0.0000,0.0000
