t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0055,3,0.0000,0.0000,,,0.0000,0.0000
0.0852,3,0.0000,0.0000,,,0.0000,0.0000
0.1499,3,0.0000,0.0000,,,0.0000,0.0000
0.2133,3,0.0000,0.0000,,,0.0000,0.0000
0.2782,3,0.0000,0.0000,,,0.0000,0.0000
0.3413,3,0.0000,0.0000,,,0.0000,0.0000
0.4217,3,0.0000,0.0000,,,0.0000,0.0000
0.4854,3,0.0000,0.0000,,,0.0000,0.0000
0.5490,3,0.0000,0.0000,,,0.0000,0.0000
0.6134,3,0.0000,0.0000,,,0.0000,0.0000
0.6774,3,0.0000,0.0000,,,0.0000,0.0000
0.7412,3,0.0000,0.0000,,,0.0000,0.0000
0.8214,3,0.0000,0.0000,,,0.0000,0.0000
0.8861,3,0.0000,0.0000,,,0.0000,0.0000
0.9492,3,0.0000,0.0000,,,0.0000,0.0000
1.0132,3,0.0000,0.0000,,,0.0000,0.0000
1.0774,3,0.0000,0.0000,,,0.0000,0.0000
1.1409,3,0.0000,0.0000,,,0.0000,0.0000
1.2214,3,0.0000,0.0000,,,0.0000,0.0000
1.2853,3,0.0000,0.0000,,,0.0000,0.0000
1.3507,3,0.0000,0.0000,,,0.0000,0.0000
1.4135,3,0.0000,0.0000,,,0.0000,0.0000
1.4772,3,0.0000,0.0000,,,0.0000,0.0000
1.5574,3,0.0000,0.0000,,,0.0000,0.0000
1.6212,3,0.0000,0.0000,,,0.0000,0.0000
1.6853,3,0.0000,0.0000,,,0.0000,0.0000
1.7496,3,0.0000,0.0000,,,0.0000,0.0000
1.8132,3,0.0000,0.0000,,,0.0000,0.0000
1.8778,3,0.0000,0.0000,,,0.0000,0.0000
1.9576,3,0.0000,0.0000,,,0.0000,0.0000
2.0226,3,0.0000,0.0000,,,0.0000,0.0000
2.0859,3,0.0000,0.0000,,,0.0000,0.0000
2.1493,3,0.0000,0.0000,,,0.0000,0.0000
2.2131,3,0.0000,0.0000,,,0.0000,0.0000
2.2774,3,0.0000,0.0000,,,0.0000,0.0000
2.3573,3,0.0000,0.0000,,,0.0000,0.0000
2.4216,3,0.0000,0.0000,,,0.0000,0.0000
2.4853,3,0.0000,0.0000,,,0.0000,0.0000
2.5497,3,0.0000,0.0000,,,0.0000,0.0000
2.6136,3,0.0000,0.0000,,,0.0000,0.0000
2.6931,3,0.0000,0.0000,,,0.0000,0.0000
2.7579,3,0.0000,0.0000,,,0.0000,0.0000
2.8220,3,0.0000,0.0000,,,0.0000,0.0000
2.8856,3,0.0000,0.0000,,,0.0000,0.0000
2.9492,3,0.0000,0.0000,,,0.0000,0.0000
3.0141,3,0.0000,0.0000,,,0.0000,0.0000
3.0937,3,0.0000,0.0000,,,0.0000,0.0000
3.1573,3,0.0000,0.0000,,,0.0000,0.0000
3.2211,3,0.0000,0.0000,,,0.0000,0.0000
3.2860,3,0.0000,0.0000,,,0.0000,0.0000
3.3498,3,0.0000,0.0000,,,0.0000,0.0000
3.4134,3,0.0000,0.0000,,,0.0000,0.0000
3.4934,3,0.0000,0.0000,,,0.0000,0.0000
3.5575,3,0.0000,0.0000,,,0.0000,0.0000
3.6220,3,0.0000,0.0000,,,0.0000,0.0000
3.6861,3,0.0000,0.0000,,,0.0000,0.0000
3.7493,9,0.0000,0.0000,,,0.0000,0.0000
3.8132,10,0.0000,0.0000,,,0.0000,0.0000
3.8938,10,0.0000,0.0000,,,0.0000,0.0000
3.9572,14,0.0000,0.0000,,,0.0000,0.0000
4.0218,14,0.0000,0.0000,,,0.0000,0.0000
