t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0147,3,0.0000,0.0000,,,0.0000,0.0000
0.0777,3,0.0000,0.0000,,,0.0000,0.0000
0.1579,3,0.0000,0.0000,,,0.0000,0.0000
0.2056,3,0.0000,0.0000,,,0.0000,0.0000
0.2865,3,0.0000,0.0000,,,0.0000,0.0000
0.3498,3,0.0000,0.0000,,,0.0000,0.0000
0.4136,3,0.0000,0.0000,,,0.0000,0.0000
0.4781,3,0.0000,0.0000,,,0.0000,0.0000
0.5586,3,0.0000,0.0000,,,0.0000,0.0000
0.6061,3,0.0000,0.0000,,,0.0000,0.0000
0.6865,3,0.0000,0.0000,,,0.0000,0.0000
0.7504,3,0.0000,0.0000,,,0.0000,0.0000
0.8138,3,0.0000,0.0000,,,0.0000,0.0000
0.8785,3,0.0000,0.0000,,,0.0000,0.0000
0.9585,8,0.0000,0.0000,,,0.0000,0.0000
1.0224,8,0.0000,0.0000,,,0.0000,0.0000
1.0858,16,0.0000,0.0000,,,0.0000,0.0000
1.1504,36,0.0000,0.0000,,,0.0000,0.0000
1.2142,52,0.0000,0.0000,,,0.0000,0.0000
1.2937,53,0.0000,0.0000,,,0.0000,0.0000
1.3583,66,0.0000,0.0000,,,0.0000,0.0000
1.4220,69,0.0000,0.0000,,,0.0000,0.0000
1.4862,73,0.0000,0.0000,,,0.0000,0.0000
1.5502,92,0.0000,0.0000,,,0.0000,0.0000
1.6150,107,0.0000,0.0000,,,0.0000,0.0000
1.6943,108,0.0000,0.0000,,,0.0000,0.0000
1.7577,113,0.0000,0.0000,,,0.0000,0.0000
1.8222,117,0.0000,0.0000,,,0.0000,0.0000
1.8858,118,0.0000,0.0000,,,0.0000,0.0000
1.9501,133,0.0000,0.0000,,,0.0000,0.0000
2.0138,135,0.0000,0.0000,,,0.0000,0.0000
2.0786,138,0.0000,0.0000,,,0.0000,0.0000
2.1583,145,0.0000,0.0000,,,0.0000,0.0000
2.2226,146,0.0000,0.0000,,,0.0000,0.0000
2.2864,152,0.0000,0.0000,,,0.0000,0.0000
2.3498,152,0.0000,0.0000,,,0.0000,0.0000
2.4145,159,0.0000,0.0000,,,0.0000,0.0000
2.4781,160,0.0000,0.0000,,,0.0000,0.0000
2.5584,162,0.0000,0.0000,,,0.0000,0.0000
2.6217,164,0.0000,0.0000,,,0.0000,0.0000
2.6864,169,0.0000,0.0000,,,0.0000,0.0000
2.7498,173,0.0000,0.0000,,,0.0000,0.0000
2.8141,173,0.0000,0.0000,,,0.0000,0.0000
2.8937,173,0.0000,0.0000,,,0.0000,0.0000
2.9582,177,0.0000,0.0000,,,0.0000,0.0000
3.0221,177,0.0000,0.0000,,,0.0000,0.0000
3.0865,177,0.0000,0.0000,,,0.0000,0.0000
3.1500,177,0.0000,0.0000,,,0.0000,0.0000
3.2147,177,0.0000,0.0000,,,0.0000,0.0000
3.2936,177,0.0000,0.0000,,,0.0000,0.0000
3.3576,181,0.0000,0.0000,,,0.0000,0.0000
3.4226,181,0.0000,0.0000,,,0.0000,0.0000
3.4861,181,0.0000,0.0000,,,0.0000,0.0000
3.5505,183,0.0000,0.0000,,,0.0000,0.0000
3.6142,185,0.0000,9.4622,,,0.0000,0.1692
3.6939,185,8.5267,12.1916,,,0.1460,0.1498
3.7582,189,9.5587,6.6326,,,0.1454,0.1091
3.8216,189,30.4618,179.4936,,,0.2210,0.3373
3.8863,189,34.9144,218.7827,,,0.2717,0.3436
3.9498,189,33.4386,229.8786,,,0.2201,0.3555
4.0144,193,34.0777,223.6460,,,0.2192,0.3509
4.0939,194,61.1762,1087.7817,,,0.3543,0.4385
4.1586,192,119.8190,1245.8186,,,0.4145,0.4525
4.2226,190,111.7755,969.5294,,,0.3766,0.4295
4.2857,190,33.7018,189.7908,,,0.2213,0.3117
4.3502,190,28.5916,151.9499,,,0.2258,0.2818
4.4297,190,30.1697,175.0220,,,0.2133,0.3088
4.4943,190,31.6060,172.0435,,,0.2011,0.3469
4.5580,190,30.1946,157.5262,,,0.1871,0.3049
4.6219,194,27.6811,170.7363,,,0.2066,0.3405
4.6865,194,32.1872,1034.5610,,,0.2416,0.4390
4.7673,190,30.9720,1159.9832,,,0.2165,0.4471
4.8315,193,30.9720,173.0983,,,0.2165,0.3304
4.8939,194,22.3663,951.6545,,,0.1678,0.4286
4.9578,194,88.6187,1169.6493,,,0.3808,0.4451
5.0226,194,112.9131,1171.2203,,,0.3772,0.4480
5.0859,196,108.9232,1110.6758,,,0.4134,0.4471
5.1657,196,111.1068,1933.1975,,,0.3735,0.5877
5.2305,192,189.1516,1852.2490,,,0.5048,0.5851
5.2938,191,105.7332,560.8181,,,0.3749,0.3751
5.3581,187,50.0890,131.2928,,,0.2789,0.3153
5.4217,186,8.5172,2.7179,,,0.1626,0.1087
5.5017,168,0.0000,0.0000,,,0.0000,0.0000
5.5667,158,0.0000,0.0000,,,0.0000,0.0000
5.6301,158,0.0000,0.0000,,,0.0000,0.0000
5.6945,158,0.0000,0.0000,,,0.0000,0.0000
5.7579,154,0.0000,0.0000,,,0.0000,0.0000
5.8224,154,0.0000,0.0000,,,0.0000,0.0000
5.9026,139,0.0000,0.0000,,,0.0000,0.0000
5.9664,122,0.0000,0.0000,,,0.0000,0.0000
6.0298,103,0.0000,0.0000,,,0.0000,0.0000
6.1102,85,0.0000,0.0000,,,0.0000,0.0000
6.1581,85,0.0000,0.0000,,,0.0000,0.0000
6.2216,78,0.0000,0.0000,,,0.0000,0.0000
6.3020,63,0.0000,0.0000,,,0.0000,0.0000
6.3661,62,0.0000,0.0000,,,0.0000,0.0000
6.4307,56,0.0000,0.0000,,,0.0000,0.0000
6.4940,55,0.0000,0.0000,,,0.0000,0.0000
6.5585,55,0.0000,0.0000,,,0.0000,0.0000
6.6227,55,0.0000,0.0000,,,0.0000,0.0000
6.6866,55,0.0000,0.0000,,,0.0000,0.0000
6.7668,55,0.0000,0.0000,,,0.0000,0.0000
6.8308,55,0.0000,0.0000,,,0.0000,0.0000
6.8946,55,0.0000,0.0000,,,0.0000,0.0000
6.9578,55,0.0000,0.0000,,,0.0000,0.0000
7.0227,55,0.0000,0.0000,,,0.0000,0.0000
7.0861,55,0.0000,0.0000,,,0.0000,0.0000
7.1663,55,0.0000,0.0000,,,0.0000,0.0000
7.2306,55,0.0000,0.0000,,,0.0000,0.0000
7.2944,55,0.0000,0.0000,,,0.0000,0.0000
7.3586,55,0.0000,0.0000,,,0.0000,0.0000
7.4220,55,0.0000,0.0000,,,0.0000,0.0000
7.4866,55,0.0000,0.0000,,,0.0000,0.0000
7.5668,55,0.0000,0.0000,,,0.0000,0.0000
7.6302,55,0.0000,0.0000,,,0.0000,0.0000
7.6949,55,0.0000,0.0000,,,0.0000,0.0000
7.7581,55,0.0000,0.0000,,,0.0000,0.0000
