t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0203,35,0.0000,0.0000,,,0.0000,0.0000
0.0838,35,0.0000,0.0000,,,0.0000,0.0000
0.1478,35,0.0000,0.0000,,,0.0000,0.0000
0.2127,35,0.0000,0.0000,,,0.0000,0.0000
0.2760,35,0.0000,0.0000,,,0.0000,0.0000
0.3404,35,0.0000,0.0000,,,0.0000,0.0000
0.4196,35,0.0000,0.0000,,,0.0000,0.0000
0.4841,35,0.0000,0.0000,,,0.0000,0.0000
0.5477,39,0.0000,0.0000,,,0.0000,0.0000
0.6116,40,0.0000,0.0000,,,0.0000,0.0000
0.6758,35,0.0000,0.0000,,,0.0000,0.0000
0.7401,34,0.0000,0.0000,,,0.0000,0.0000
0.8202,34,0.0000,0.0000,,,0.0000,0.0000
0.8845,38,0.0000,0.0000,,,0.0000,0.0000
0.9484,39,0.0000,0.0000,,,0.0000,0.0000
1.0117,45,0.0000,0.0000,,,0.0000,0.0000
1.0759,55,0.0000,0.0000,,,0.0000,0.0000
1.1396,56,0.0000,0.0000,,,0.0000,0.0000
1.2203,60,0.0000,0.0000,,,0.0000,0.0000
1.2837,61,0.0000,0.0000,,,0.0000,0.0000
1.3484,61,0.0000,0.0000,,,0.0000,0.0000
1.4120,64,0.0000,0.0000,,,0.0000,0.0000
1.4756,65,0.0000,0.0000,,,0.0000,0.0000
1.5403,65,0.0000,0.0000,,,0.0000,0.0000
1.6200,65,0.0000,0.0000,,,0.0000,0.0000
1.6844,65,0.0000,0.0000,,,0.0000,0.0000
1.7476,65,0.0000,0.0000,,,0.0000,0.0000
1.8120,65,0.0000,0.0000,,,0.0000,0.0000
1.8757,65,0.0000,0.0000,,,0.0000,0.0000
1.9555,65,0.0000,0.0000,,,0.0000,0.0000
2.0204,69,0.0000,0.0000,,,0.0000,0.0000
2.0838,72,0.0000,0.0000,,,0.0000,0.0000
2.1477,73,0.0000,0.0000,,,0.0000,0.0000
2.2281,78,0.0000,0.0000,,,0.0000,0.0000
2.2760,78,0.0000,0.0000,,,0.0000,0.0000
2.3561,85,0.0000,0.0000,,,0.0000,0.0000
2.4204,85,0.0000,0.0000,,,0.0000,0.0000
2.4844,86,0.0000,0.0000,,,0.0000,0.0000
