t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0148,3,0.0000,0.0000,,,0.0000,0.0000
0.0795,3,0.0000,0.0000,,,0.0000,0.0000
0.1435,3,0.0000,0.0000,,,0.0000,0.0000
0.2068,3,0.0000,0.0000,,,0.0000,0.0000
0.2876,3,0.0000,0.0000,,,0.0000,0.0000
0.3513,3,0.0000,0.0000,,,0.0000,0.0000
0.4147,3,0.0000,0.0000,,,0.0000,0.0000
0.4795,3,0.0000,0.0000,,,0.0000,0.0000
0.5429,3,0.0000,0.0000,,,0.0000,0.0000
0.6075,3,0.0000,0.0000,,,0.0000,0.0000
0.6875,3,0.0000,0.0000,,,0.0000,0.0000
0.7506,3,0.0000,0.0000,,,0.0000,0.0000
0.8155,3,0.0000,0.0000,,,0.0000,0.0000
0.8789,3,0.0000,0.0000,,,0.0000,0.0000
0.9429,3,0.0000,0.0000,,,0.0000,0.0000
1.0067,3,0.0000,0.0000,,,0.0000,0.0000
1.0871,7,0.0000,0.0000,,,0.0000,0.0000
1.1514,7,0.0000,0.0000,,,0.0000,0.0000
1.2146,17,0.0000,0.0000,,,0.0000,0.0000
1.2787,38,0.0000,0.0000,,,0.0000,0.0000
1.3431,39,0.0000,0.0000,,,0.0000,0.0000
1.4238,43,0.0000,0.0000,,,0.0000,0.0000
1.4868,43,0.0000,0.0000,,,0.0000,0.0000
1.5517,54,0.0000,0.0000,,,0.0000,0.0000
1.6150,68,0.0000,0.0000,,,0.0000,0.0000
1.6956,70,0.0000,0.0000,,,0.0000,0.0000
1.7438,75,0.0000,0.0000,,,0.0000,0.0000
1.8235,83,0.0000,0.0000,,,0.0000,0.0000
1.8866,85,0.0000,0.0000,,,0.0000,0.0000
1.9516,88,0.0000,0.0000,,,0.0000,0.0000
2.0153,88,0.0000,0.0000,,,0.0000,0.0000
2.0790,92,0.0000,0.0000,,,0.0000,0.0000
2.1435,92,0.0000,0.0000,,,0.0000,0.0000
2.2228,92,0.0000,0.0000,,,0.0000,0.0000
2.2877,95,0.0000,0.0000,,,0.0000,0.0000
2.3512,97,0.0000,0.0000,,,0.0000,0.0000
2.4154,98,0.0000,0.0000,,,0.0000,0.0000
2.4792,101,0.0000,0.0000,,,0.0000,0.0000
2.5427,103,0.0000,0.0000,,,0.0000,0.0000
2.6227,121,0.0000,0.0000,,,0.0000,0.0000
2.6876,130,0.0000,0.0000,,,0.0000,0.0000
2.7508,133,0.0000,0.0000,,,0.0000,0.0000
2.8155,151,309.8445,518.0922,,,0.2695,0.3767
2.8790,172,2056.4316,518.0922,,,0.6360,0.3767
2.9435,191,2056.4316,3730.7329,,,0.6360,0.9680
3.0235,196,5851.8711,8674.0957,,,0.7809,0.9842
3.0871,201,6850.9199,12184.5918,,,0.7787,0.9842
3.1516,200,9596.0645,12850.7881,,,0.8029,0.9842
3.2149,197,6512.9131,12850.7881,,,0.7543,0.9842
3.2956,197,5801.5356,8683.8857,,,0.7658,0.9842
3.3590,186,4064.3921,7477.8906,,,0.7712,0.9842
3.4235,180,1765.7545,4315.8081,,,0.7287,0.9836
3.4873,178,1736.0894,3956.1143,,,0.7472,0.9552
3.5511,170,1586.8469,3429.6455,,,0.6243,0.8964
3.6148,170,1580.5962,3429.6455,,,0.6319,0.8964
3.6796,164,1557.3748,3254.1689,,,0.5917,0.8735
3.7594,165,1536.7197,3130.3909,,,0.5788,0.8234
3.8231,167,1553.6636,3164.2417,,,0.6026,0.8752
3.9029,165,1591.6853,3234.3442,,,0.6102,0.8703
3.9517,163,1534.6838,3148.8979,,,0.5942,0.8757
4.0166,159,1473.5148,3148.8979,,,0.5593,0.8757
4.0950,157,1472.5500,3097.9478,,,0.5642,0.7886
4.1592,141,1221.0485,2904.5720,,,0.4627,0.8074
4.2226,123,0.0000,122.0987,,,0.0000,0.2262
4.3030,99,0.0000,0.0000,,,0.0000,0.0000
4.3513,83,0.0000,0.0000,,,0.0000,0.0000
4.4148,64,0.0000,0.0000,,,0.0000,0.0000
4.4796,60,0.0000,0.0000,,,0.0000,0.0000
4.5596,56,0.0000,0.0000,,,0.0000,0.0000
4.6236,56,0.0000,0.0000,,,0.0000,0.0000
4.7032,53,0.0000,0.0000,,,0.0000,0.0000
4.7521,52,0.0000,0.0000,,,0.0000,0.0000
4.8151,42,0.0000,0.0000,,,0.0000,0.0000
4.8956,39,0.0000,0.0000,,,0.0000,0.0000
4.9587,37,0.0000,0.0000,,,0.0000,0.0000
5.0231,32,0.0000,0.0000,,,0.0000,0.0000
5.1032,28,0.0000,0.0000,,,0.0000,0.0000
5.1515,15,0.0000,0.0000,,,0.0000,0.0000
5.2147,3,0.0000,0.0000,,,0.0000,0.0000
5.2952,3,0.0000,0.0000,,,0.0000,0.0000
