t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0216,60,0.0000,0.0000,,,0.0000,0.0000
0.0849,57,0.0000,0.0000,,,0.0000,0.0000
0.1485,50,0.0000,0.0000,,,0.0000,0.0000
0.2131,48,0.0000,0.0000,,,0.0000,0.0000
0.2925,53,0.0000,0.0000,,,0.0000,0.0000
0.3412,57,0.0000,0.0000,,,0.0000,0.0000
0.4209,58,0.0000,0.0000,,,0.0000,0.0000
0.4851,74,0.0000,0.0000,,,0.0000,0.0000
0.5488,81,0.0000,0.0000,,,0.0000,0.0000
0.6284,81,0.0000,0.0000,,,0.0000,0.0000
0.6929,95,0.0000,0.0000,,,0.0000,0.0000
0.7408,111,0.0000,0.0000,,,0.0000,0.0000
0.8046,111,0.0000,0.0000,,,0.0000,0.0000
0.8846,120,0.0000,0.0000,,,0.0000,0.0000
0.9486,127,0.0000,0.0000,,,0.0000,0.0000
1.0132,125,0.0000,0.0000,,,0.0000,0.0000
1.0932,124,0.0000,0.0000,,,0.0000,0.0000
1.1415,124,0.0000,0.0000,,,0.0000,0.0000
1.2208,124,0.0000,0.0000,,,0.0000,0.0000
1.2848,124,0.0000,0.0000,,,0.0000,0.0000
1.3490,124,0.0000,0.0000,,,0.0000,0.0000
1.4126,129,0.0000,0.0000,,,0.0000,0.0000
1.4925,131,0.0000,0.0000,,,0.0000,0.0000
1.5407,133,0.0000,0.0000,,,0.0000,0.0000
1.6212,139,0.0000,0.0000,,,0.0000,0.0000
1.6853,139,164.4318,2186.1572,,,0.2115,0.8106
1.7485,139,232.9958,2121.7092,,,0.2650,0.7770
1.8129,139,252.9697,2112.3394,,,0.2712,0.7733
1.8931,139,247.5394,2076.4707,,,0.2626,0.7637
1.9413,139,232.0552,2124.5645,,,0.2719,0.7720
2.0213,139,229.7251,2082.0579,,,0.2855,0.7719
2.0854,139,224.3185,2108.1511,,,0.2783,0.7761
2.1491,139,224.4448,2069.7444,,,0.2393,0.7710
2.2127,139,229.0597,2071.0493,,,0.2571,0.7607
2.2937,139,227.8861,2044.1084,,,0.2748,0.7689
2.3406,139,252.8181,2062.8181,,,0.2742,0.7669
2.4373,140,244.5924,2058.4360,,,0.2858,0.7627
2.4852,143,224.1299,2048.3818,,,0.2748,0.7718
2.5508,143,661.2307,2763.1396,,,0.4168,0.9065
2.6131,143,693.0515,2740.8857,,,0.4038,0.9165
2.6928,143,668.8186,2756.0664,,,0.4166,0.9261
2.7411,143,704.3505,2732.0190,,,0.4186,0.9203
2.8211,143,674.4041,2701.3013,,,0.4098,0.9063
2.8845,143,664.5059,2709.7344,,,0.3975,0.9137
2.9493,143,661.1521,2710.8379,,,0.3949,0.9173
3.0138,143,674.1373,2670.8882,,,0.3878,0.9017
3.0929,143,658.2259,2665.6455,,,0.3985,0.9058
3.1580,143,656.3188,2670.1360,,,0.4116,0.9053
3.2207,143,645.8865,2673.7625,,,0.4126,0.9061
3.2853,141,659.9817,2674.6475,,,0.3825,0.9060
3.3487,139,624.3458,2379.1406,,,0.3771,0.8604
3.4133,139,156.1669,1797.1962,,,0.1948,0.6846
3.4933,139,154.4409,1834.3281,,,0.2097,0.7073
3.5569,139,148.7618,1822.5054,,,0.2037,0.7264
3.6216,139,158.1681,1848.0686,,,0.1999,0.7125
3.6851,139,166.2630,1855.2290,,,0.2130,0.6925
3.7494,139,154.2884,1864.0640,,,0.1933,0.7000
3.8130,139,163.2305,1847.8395,,,0.2304,0.7112
3.8925,139,169.6218,1871.5925,,,0.2098,0.6826
3.9566,136,167.0703,1862.1774,,,0.2125,0.6815
4.0376,135,111.5758,947.0250,,,0.1665,0.5128
4.1005,121,18.3343,874.9190,,,0.1542,0.4506
4.1492,119,0.0000,0.0000,,,0.0000,0.0000
4.2291,113,0.0000,0.0000,,,0.0000,0.0000
4.2930,98,0.0000,0.0000,,,0.0000,0.0000
4.3569,96,0.0000,0.0000,,,0.0000,0.0000
4.4213,94,0.0000,0.0000,,,0.0000,0.0000
4.5011,85,0.0000,0.0000,,,0.0000,0.0000
4.5490,85,0.0000,0.0000,,,0.0000,0.0000
4.6134,74,0.0000,0.0000,,,0.0000,0.0000
4.6936,67,0.0000,0.0000,,,0.0000,0.0000
4.7567,66,0.0000,0.0000,,,0.0000,0.0000
4.8216,53,0.0000,0.0000,,,0.0000,0.0000
4.9011,51,0.0000,0.0000,,,0.0000,0.0000
4.9494,51,0.0000,0.0000,,,0.0000,0.0000
5.0128,52,0.0000,0.0000,,,0.0000,0.0000
5.0933,51,0.0000,0.0000,,,0.0000,0.0000
5.1575,51,0.0000,0.0000,,,0.0000,0.0000
5.2210,51,0.0000,0.0000,,,0.0000,0.0000
5.3006,51,0.0000,0.0000,,,0.0000,0.0000
5.3489,51,0.0000,0.0000,,,0.0000,0.0000
5.4126,51,0.0000,0.0000,,,0.0000,0.0000
5.4929,51,0.0000,0.0000,,,0.0000,0.0000
5.5572,51,0.0000,0.0000,,,0.0000,0.0000
5.6206,51,0.0000,0.0000,,,0.0000,0.0000
5.7015,51,0.0000,0.0000,,,0.0000,0.0000
