t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0088,43,0.0000,0.0000,,,0.0000,0.0000
0.0733,39,0.0000,0.0000,,,0.0000,0.0000
0.1532,39,0.0000,0.0000,,,0.0000,0.0000
0.2171,41,0.0000,0.0000,,,0.0000,0.0000
0.2812,43,0.0000,0.0000,,,0.0000,0.0000
0.3451,47,0.0000,0.0000,,,0.0000,0.0000
0.4093,48,0.0000,0.0000,,,0.0000,0.0000
0.4891,44,0.0000,0.0000,,,0.0000,0.0000
0.5534,44,0.0000,0.0000,,,0.0000,0.0000
0.6177,43,0.0000,0.0000,,,0.0000,0.0000
0.6820,46,0.0000,0.0000,,,0.0000,0.0000
0.7446,47,0.0000,0.0000,,,0.0000,0.0000
0.8260,48,0.0000,0.0000,,,0.0000,0.0000
0.8895,52,0.0000,0.0000,,,0.0000,0.0000
0.9525,56,0.0000,0.0000,,,0.0000,0.0000
1.0171,57,0.0000,0.0000,,,0.0000,0.0000
1.0812,57,0.0000,0.0000,,,0.0000,0.0000
1.1450,61,0.0000,0.0000,,,0.0000,0.0000
1.2084,66,0.0000,0.0000,,,0.0000,0.0000
1.2895,66,0.0000,0.0000,,,0.0000,0.0000
1.3528,69,0.0000,0.0000,,,0.0000,0.0000
1.4163,69,0.0000,0.0000,,,0.0000,0.0000
1.4809,74,0.0000,0.0000,,,0.0000,0.0000
1.5444,76,0.0000,0.0000,,,0.0000,0.0000
1.6083,82,0.0000,0.0000,,,0.0000,0.0000
1.6899,82,0.0000,0.0000,,,0.0000,0.0000
1.7532,86,0.0000,0.0000,,,0.0000,0.0000
1.8168,86,0.0000,0.0000,,,0.0000,0.0000
1.8811,94,0.0000,0.0000,,,0.0000,0.0000
1.9446,95,0.0000,0.0000,,,0.0000,0.0000
2.0249,99,0.0000,0.0000,,,0.0000,0.0000
2.0890,99,0.0000,0.0000,,,0.0000,0.0000
2.1528,100,0.0000,0.0000,,,0.0000,0.0000
2.2169,102,0.0000,0.0000,,,0.0000,0.0000
2.2964,104,0.0000,0.0000,,,0.0000,0.0000
2.3453,100,0.0000,0.0000,,,0.0000,0.0000
2.4251,99,0.0000,0.0000,,,0.0000,0.0000
2.4891,99,0.0000,0.0000,,,0.0000,0.0000
2.5532,99,0.0000,0.0000,,,0.0000,0.0000
2.6170,99,0.0000,0.0000,,,0.0000,0.0000
2.6804,99,0.0000,0.0000,,,0.0000,0.0000
2.7449,99,0.0000,0.0000,,,0.0000,0.0000
2.8246,99,0.0000,0.0000,,,0.0000,0.0000
2.8888,99,0.0000,0.0000,,,0.0000,0.0000
2.9524,104,0.0000,0.0000,,,0.0000,0.0000
3.0168,104,0.0000,0.0000,,,0.0000,0.0000
3.0813,110,0.0000,0.0000,,,0.0000,0.0000
3.1450,113,0.0000,0.0000,,,0.0000,0.0000
3.2251,113,0.0000,0.0000,,,0.0000,0.0000
3.2893,109,0.0000,0.0000,,,0.0000,0.0000
3.3528,108,0.0000,0.0000,,,0.0000,0.0000
3.4163,106,0.0000,0.0000,,,0.0000,0.0000
3.4810,111,0.0000,0.0000,,,0.0000,0.0000
3.5610,112,0.0000,0.0000,,,0.0000,0.0000
3.6255,113,0.0000,0.0000,,,0.0000,0.0000
3.6885,116,0.0000,0.0000,,,0.0000,0.0000
3.7532,120,952.3242,4770.9199,,,0.2292,0.5962
3.8331,120,7839.2959,19685.1738,,,0.7325,0.9563
3.8965,123,13963.5840,29619.6641,,,0.8551,0.9842
3.9624,124,15648.8193,30070.9434,,,0.8552,0.9842
4.0253,124,15648.8193,36271.0391,,,0.8552,0.9842
4.0883,120,19851.9590,36271.0391,,,0.8552,0.9842
4.1524,116,19843.7480,36077.9375,,,0.8552,0.9842
4.2327,116,671.5357,2415.2129,,,0.1789,0.4507
4.2965,121,8227.3242,21207.8223,,,0.7380,0.9634
4.3603,119,8227.3242,24192.3438,,,0.7380,0.9841
4.4246,117,11606.7705,24192.3438,,,0.8233,0.9841
4.4883,113,3170.1023,9292.2539,,,0.4813,0.6838
4.5529,112,821.3934,1653.3987,,,0.2291,0.4356
4.6163,112,0.0000,0.0000,,,0.0000,0.0000
4.6964,108,0.0000,0.0000,,,0.0000,0.0000
4.7607,108,0.0000,0.0000,,,0.0000,0.0000
4.8253,107,0.0000,0.0000,,,0.0000,0.0000
4.9048,110,0.0000,0.0000,,,0.0000,0.0000
4.9525,118,0.0000,0.0000,,,0.0000,0.0000
5.0329,119,6871.6216,16213.4014,,,0.5996,0.8935
5.0969,115,6871.6216,16380.2090,,,0.5996,0.9060
5.1609,113,6849.1646,16380.2090,,,0.6022,0.9060
5.2250,113,1.1926,1057.8071,,,0.1172,0.3779
5.3049,108,0.0000,0.0000,,,0.0000,0.0000
5.3532,109,0.0000,0.0000,,,0.0000,0.0000
5.4166,115,0.0000,0.0000,,,0.0000,0.0000
5.4977,115,0.0000,1955.0386,,,0.0000,0.4100
5.5604,112,181.7657,1955.0386,,,0.1632,0.4100
5.6252,112,0.0000,0.0000,,,0.0000,0.0000
5.7052,115,0.0000,416.4864,,,0.0000,0.2973
5.7530,116,0.0000,416.4864,,,0.0000,0.2973
5.8337,117,2158.8665,7140.4795,,,0.3928,0.6576
5.8982,112,2158.8665,3021.0835,,,0.3928,0.5397
5.9612,112,837.4498,3021.0835,,,0.2288,0.5397
6.0248,108,0.0000,0.0000,,,0.0000,0.0000
6.1049,108,0.0000,0.0000,,,0.0000,0.0000
6.1525,104,0.0000,0.0000,,,0.0000,0.0000
6.2330,103,0.0000,0.0000,,,0.0000,0.0000
6.2980,97,0.0000,0.0000,,,0.0000,0.0000
6.3609,97,0.0000,0.0000,,,0.0000,0.0000
6.4251,85,0.0000,0.0000,,,0.0000,0.0000
6.5049,67,0.0000,0.0000,,,0.0000,0.0000
6.5532,67,0.0000,0.0000,,,0.0000,0.0000
6.6330,57,0.0000,0.0000,,,0.0000,0.0000
6.6969,40,0.0000,0.0000,,,0.0000,0.0000
6.7614,36,0.0000,0.0000,,,0.0000,0.0000
6.8243,36,0.0000,0.0000,,,0.0000,0.0000
6.8888,36,0.0000,0.0000,,,0.0000,0.0000
6.9531,36,0.0000,0.0000,,,0.0000,0.0000
7.0329,36,0.0000,0.0000,,,0.0000,0.0000
7.0970,36,0.0000,0.0000,,,0.0000,0.0000
