t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0077,63,0.0000,0.0000,,,0.0000,0.0000
0.0712,63,0.0000,0.0000,,,0.0000,0.0000
0.1523,63,0.0000,0.0000,,,0.0000,0.0000
0.2155,63,0.0000,0.0000,,,0.0000,0.0000
0.2790,63,0.0000,0.0000,,,0.0000,0.0000
0.3434,63,0.0000,0.0000,,,0.0000,0.0000
0.4075,63,0.0000,0.0000,,,0.0000,0.0000
0.4875,63,0.0000,0.0000,,,0.0000,0.0000
0.5517,63,0.0000,0.0000,,,0.0000,0.0000
0.6153,63,0.0000,0.0000,,,0.0000,0.0000
0.6811,63,0.0000,0.0000,,,0.0000,0.0000
0.7439,63,0.0000,0.0000,,,0.0000,0.0000
0.8078,63,0.0000,0.0000,,,0.0000,0.0000
0.8879,63,0.0000,0.0000,,,0.0000,0.0000
0.9519,63,0.0000,0.0000,,,0.0000,0.0000
1.0155,63,0.0000,0.0000,,,0.0000,0.0000
1.0790,63,0.0000,0.0000,,,0.0000,0.0000
1.1436,63,0.0000,0.0000,,,0.0000,0.0000
1.2071,63,0.0000,0.0000,,,0.0000,0.0000
1.2877,63,0.0000,0.0000,,,0.0000,0.0000
1.3512,63,0.0000,0.0000,,,0.0000,0.0000
1.4158,63,0.0000,0.0000,,,0.0000,0.0000
1.4793,63,0.0000,0.0000,,,0.0000,0.0000
1.5429,63,0.0000,0.0000,,,0.0000,0.0000
1.6076,63,0.0000,0.0000,,,0.0000,0.0000
1.6871,67,0.0000,0.0000,,,0.0000,0.0000
1.7515,68,0.0000,0.0000,,,0.0000,0.0000
1.8154,71,0.0000,0.0000,,,0.0000,0.0000
1.8792,72,0.0000,0.0000,,,0.0000,0.0000
1.9438,77,0.0000,0.0000,,,0.0000,0.0000
2.0071,77,0.0000,0.0000,,,0.0000,0.0000
2.0872,77,0.0000,0.0000,,,0.0000,0.0000
2.1515,78,0.0000,0.0000,,,0.0000,0.0000
2.2154,82,0.0000,0.0000,,,0.0000,0.0000
2.2793,85,0.0000,0.0000,,,0.0000,0.0000
2.3439,87,0.0000,0.0000,,,0.0000,0.0000
2.4238,91,0.0000,0.0000,,,0.0000,0.0000
2.4882,91,0.0000,0.0000,,,0.0000,0.0000
2.5518,95,0.0000,0.0000,,,0.0000,0.0000
2.6154,96,0.0000,0.0000,,,0.0000,0.0000
2.6799,101,0.0000,0.0000,,,0.0000,0.0000
2.7433,101,0.0000,0.0000,,,0.0000,0.0000
2.8240,102,0.0000,0.0000,,,0.0000,0.0000
2.8877,106,0.0000,0.0000,,,0.0000,0.0000
2.9510,106,0.0000,0.0000,,,0.0000,0.0000
3.0151,109,0.0000,0.0000,,,0.0000,0.0000
3.0793,110,0.0000,0.0000,,,0.0000,0.0000
3.1437,111,0.0000,0.0000,,,0.0000,0.0000
3.2230,114,0.0000,0.0000,,,0.0000,0.0000
3.2872,114,0.0000,0.0000,,,0.0000,0.0000
3.3516,118,32.4401,0.0000,,,0.1628,0.0000
3.4152,118,3026.4656,8630.8203,,,0.5284,0.5962
3.4797,122,3070.0894,8635.7520,,,0.5570,0.5962
3.5432,124,11252.5645,22892.8613,,,0.8269,0.9679
3.6232,127,13596.6104,28515.9160,,,0.8448,0.9842
3.6878,127,20554.0684,35090.3008,,,0.8552,0.9842
3.7513,127,12719.9277,22991.8809,,,0.8552,0.9591
3.8157,127,12534.6543,22589.8945,,,0.8552,0.9515
3.8792,127,12424.8984,22396.3379,,,0.8552,0.9583
3.9437,127,12340.5576,22233.4570,,,0.8552,0.9406
4.0234,123,12390.1934,22275.4727,,,0.8552,0.9323
4.0883,122,11488.2471,19819.1113,,,0.8552,0.7893
4.1517,122,6514.0894,13600.9854,,,0.7971,0.6806
4.2151,122,6439.1953,13387.7520,,,0.7967,0.6718
4.2789,122,6475.6255,13327.5068,,,0.7929,0.6768
4.3602,122,6416.1704,13458.9365,,,0.7925,0.6784
4.4234,122,6428.8584,13296.3057,,,0.7898,0.6721
4.4879,122,6445.2373,13477.4863,,,0.7897,0.6782
4.5512,122,6435.9404,13438.0586,,,0.7962,0.6730
4.6158,118,6487.1074,13439.0127,,,0.7940,0.6782
4.6959,118,4323.5669,8855.6309,,,0.7190,0.5962
4.7589,117,2126.8049,4105.0142,,,0.5248,0.4159
4.8239,111,1652.4058,1823.4475,,,0.4993,0.3731
4.8870,110,54.1062,0.0000,,,0.1632,0.0000
4.9516,100,0.0000,0.0000,,,0.0000,0.0000
5.0151,100,0.0000,0.0000,,,0.0000,0.0000
5.0953,93,0.0000,0.0000,,,0.0000,0.0000
5.1597,91,0.0000,0.0000,,,0.0000,0.0000
5.2393,87,0.0000,0.0000,,,0.0000,0.0000
5.2880,87,0.0000,0.0000,,,0.0000,0.0000
5.3515,82,0.0000,0.0000,,,0.0000,0.0000
5.4152,82,0.0000,0.0000,,,0.0000,0.0000
5.4954,82,0.0000,0.0000,,,0.0000,0.0000
5.5595,80,0.0000,0.0000,,,0.0000,0.0000
5.6232,80,0.0000,0.0000,,,0.0000,0.0000
5.6874,70,0.0000,0.0000,,,0.0000,0.0000
5.7676,51,0.0000,0.0000,,,0.0000,0.0000
5.8313,39,0.0000,0.0000,,,0.0000,0.0000
5.8956,37,0.0000,0.0000,,,0.0000,0.0000
5.9592,42,0.0000,0.0000,,,0.0000,0.0000
6.0240,51,0.0000,0.0000,,,0.0000,0.0000
6.0873,50,0.0000,0.0000,,,0.0000,0.0000
6.1677,46,0.0000,0.0000,,,0.0000,0.0000
6.2319,45,0.0000,0.0000,,,0.0000,0.0000
6.2958,43,0.0000,0.0000,,,0.0000,0.0000
6.3595,43,0.0000,0.0000,,,0.0000,0.0000
6.4235,43,0.0000,0.0000,,,0.0000,0.0000
6.4870,43,0.0000,0.0000,,,0.0000,0.0000
6.5516,43,0.0000,0.0000,,,0.0000,0.0000
6.6318,43,0.0000,0.0000,,,0.0000,0.0000
6.6955,43,0.0000,0.0000,,,0.0000,0.0000
6.7597,43,0.0000,0.0000,,,0.0000,0.0000
6.8233,43,0.0000,0.0000,,,0.0000,0.0000
6.8879,43,0.0000,0.0000,,,0.0000,0.0000
6.9514,43,0.0000,0.0000,,,0.0000,0.0000
7.0315,43,0.0000,0.0000,,,0.0000,0.0000
7.0954,43,0.0000,0.0000,,,0.0000,0.0000
7.1596,43,0.0000,0.0000,,,0.0000,0.0000
7.2230,43,0.0000,0.0000,,,0.0000,0.0000
7.2877,43,0.0000,0.0000,,,0.0000,0.0000
7.3681,43,0.0000,0.0000,,,0.0000,0.0000
7.4314,43,0.0000,0.0000,,,0.0000,0.0000
7.4955,43,0.0000,0.0000,,,0.0000,0.0000
7.5593,43,0.0000,0.0000,,,0.0000,0.0000
7.6238,43,0.0000,0.0000,,,0.0000,0.0000
7.6873,43,0.0000,0.0000,,,0.0000,0.0000
7.7677,43,0.0000,0.0000,,,0.0000,0.0000
7.8317,43,0.0000,0.0000,,,0.0000,0.0000
7.8955,43,0.0000,0.0000,,,0.0000,0.0000
7.9591,43,0.0000,0.0000,,,0.0000,0.0000
8.0235,43,0.0000,0.0000,,,0.0000,0.0000
8.0872,43,0.0000,0.0000,,,0.0000,0.0000
8.1675,43,0.0000,0.0000,,,0.0000,0.0000
8.2317,43,0.0000,0.0000,,,0.0000,0.0000
8.2954,43,0.0000,0.0000,,,0.0000,0.0000
8.3599,43,0.0000,0.0000,,,0.0000,0.0000
8.4234,43,0.0000,0.0000,,,0.0000,0.0000
8.5040,43,0.0000,0.0000,,,0.0000,0.0000
8.5672,43,0.0000,0.0000,,,0.0000,0.0000
8.6315,43,0.0000,0.0000,,,0.0000,0.0000
8.6952,43,0.0000,0.0000,,,0.0000,0.0000
8.7597,43,0.0000,0.0000,,,0.0000,0.0000
