t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0078,77,0.0000,0.0000,,,0.0000,0.0000
0.0878,77,0.0000,0.0000,,,0.0000,0.0000
0.1517,78,0.0000,0.0000,,,0.0000,0.0000
0.2165,87,0.0000,0.0000,,,0.0000,0.0000
0.2797,87,0.0000,0.0000,,,0.0000,0.0000
0.3443,82,0.0000,0.0000,,,0.0000,0.0000
0.4081,82,0.0000,0.0000,,,0.0000,0.0000
0.4883,82,0.0000,0.0000,,,0.0000,0.0000
0.5525,82,0.0000,0.0000,,,0.0000,0.0000
0.6158,87,0.0000,0.0000,,,0.0000,0.0000
0.6796,88,0.0000,0.0000,,,0.0000,0.0000
0.7455,90,0.0000,0.0000,,,0.0000,0.0000
0.8086,93,0.0000,0.0000,,,0.0000,0.0000
0.8878,94,0.0000,0.0000,,,0.0000,0.0000
0.9527,97,0.0000,0.0000,,,0.0000,0.0000
1.0163,99,0.0000,0.0000,,,0.0000,0.0000
1.0799,101,0.0000,0.0000,,,0.0000,0.0000
1.1437,105,0.0000,0.0000,,,0.0000,0.0000
1.2077,105,0.0000,0.0000,,,0.0000,0.0000
1.2882,105,0.0000,0.0000,,,0.0000,0.0000
1.3518,105,0.0000,0.0000,,,0.0000,0.0000
1.4161,109,0.0000,0.0000,,,0.0000,0.0000
1.4805,110,0.0000,0.0000,,,0.0000,0.0000
1.5441,110,0.0000,0.0000,,,0.0000,0.0000
1.6077,110,0.0000,0.0000,,,0.0000,0.0000
1.6882,110,0.0000,0.0000,,,0.0000,0.0000
1.7520,110,0.0000,0.0000,,,0.0000,0.0000
1.8156,110,0.0000,0.0000,,,0.0000,0.0000
1.8808,110,0.0000,0.0000,,,0.0000,0.0000
1.9444,110,0.0000,0.0000,,,0.0000,0.0000
2.0239,110,0.0000,0.0000,,,0.0000,0.0000
2.0884,106,0.0000,0.0000,,,0.0000,0.0000
2.1520,104,0.0000,0.0000,,,0.0000,0.0000
2.2316,101,0.0000,0.0000,,,0.0000,0.0000
2.2802,105,0.0000,0.0000,,,0.0000,0.0000
2.3436,106,0.0000,0.0000,,,0.0000,0.0000
2.4234,111,0.0000,0.0000,,,0.0000,0.0000
2.4880,111,0.0000,0.0000,,,0.0000,0.0000
2.5515,107,0.0000,0.0000,,,0.0000,0.0000
2.6318,108,0.0000,0.0000,,,0.0000,0.0000
2.6795,113,0.0000,0.0000,,,0.0000,0.0000
2.7443,114,0.0000,0.0000,,,0.0000,0.0000
2.8245,116,0.0000,0.0000,,,0.0000,0.0000
2.8883,119,0.0000,0.0000,,,0.0000,0.0000
2.9519,119,0.0000,0.0000,,,0.0000,0.0000
3.0317,119,0.0000,0.0000,,,0.0000,0.0000
3.0801,115,0.0000,0.0000,,,0.0000,0.0000
3.1434,115,0.0000,0.0000,,,0.0000,0.0000
3.2235,125,0.0000,0.0000,,,0.0000,0.0000
3.2883,127,0.0000,0.0000,,,0.0000,0.0000
3.3522,123,0.0000,0.0000,,,0.0000,0.0000
3.4316,122,0.0000,0.0000,,,0.0000,0.0000
3.4803,126,0.0000,0.0000,,,0.0000,0.0000
3.5439,126,0.0000,0.0000,,,0.0000,0.0000
3.6244,124,0.0000,0.0000,,,0.0000,0.0000
3.6883,122,0.0000,0.0000,,,0.0000,0.0000
3.7516,122,0.0000,0.0000,,,0.0000,0.0000
3.8161,122,0.0000,0.0000,,,0.0000,0.0000
3.8796,122,0.0000,0.0000,,,0.0000,0.0000
3.9443,122,0.0000,0.0000,,,0.0000,0.0000
4.0238,122,0.0000,0.0000,,,0.0000,0.0000
4.0875,124,0.0000,0.0000,,,0.0000,0.0000
4.1522,126,0.0000,0.0000,,,0.0000,0.0000
4.2159,126,0.0000,0.0000,,,0.0000,0.0000
4.2957,129,0.0000,0.0000,,,0.0000,0.0000
4.3442,130,0.0000,0.0000,,,0.0000,0.0000
4.4236,130,54.3207,24.9295,,,0.1622,0.1270
4.4879,132,50.2467,51.9745,,,0.1594,0.1858
4.5515,136,43.4321,44.0164,,,0.1513,0.2000
4.6163,136,603.1051,1037.4689,,,0.4212,0.5645
4.6963,138,735.9081,939.9339,,,0.4695,0.4931
4.7447,142,699.5901,902.4193,,,0.4678,0.4555
4.8240,142,1352.4990,2228.6782,,,0.5474,0.7589
4.8883,138,1474.4523,2341.9448,,,0.5450,0.7708
4.9520,138,1132.0447,1441.9509,,,0.5288,0.5911
5.0158,143,854.2708,1040.1472,,,0.5029,0.5667
5.0958,143,1464.4790,2279.3589,,,0.5462,0.7754
5.1439,139,1566.0853,2472.5986,,,0.5495,0.8478
5.2243,138,1445.0720,2090.0254,,,0.5466,0.7563
5.2877,138,821.8540,1025.8044,,,0.4806,0.5502
5.3515,138,845.3481,1017.8953,,,0.4986,0.5369
5.4160,138,852.4779,1079.0295,,,0.4989,0.5717
5.4961,138,877.5381,1033.8672,,,0.4881,0.5502
5.5441,138,860.2161,1051.9705,,,0.5015,0.5746
5.6242,138,841.6166,1092.9475,,,0.4989,0.5711
5.6877,138,850.4724,1049.4197,,,0.5004,0.5378
5.7521,138,853.2180,1025.9246,,,0.5010,0.5286
5.8155,138,855.7255,1044.2590,,,0.4951,0.5749
5.8955,138,850.3793,1098.8523,,,0.4917,0.5746
5.9597,138,858.1981,1064.6761,,,0.4924,0.5727
6.0241,138,850.8539,1094.7201,,,0.4816,0.5719
6.0879,137,843.1333,1046.3113,,,0.4985,0.5417
6.1524,133,809.3915,954.7385,,,0.4808,0.5361
6.2158,133,235.7535,264.0468,,,0.2445,0.3618
6.2971,133,222.7759,273.4284,,,0.2615,0.3452
6.3595,133,220.8805,328.5323,,,0.2486,0.3589
6.4241,130,224.1754,298.1581,,,0.2543,0.3620
6.4876,129,237.4827,0.0000,,,0.2569,0.0000
6.5522,129,0.0000,0.0000,,,0.0000,0.0000
6.6158,129,0.0000,0.0000,,,0.0000,0.0000
6.6960,129,0.0000,0.0000,,,0.0000,0.0000
6.7598,129,0.0000,0.0000,,,0.0000,0.0000
6.8242,125,0.0000,0.0000,,,0.0000,0.0000
6.8882,123,0.0000,0.0000,,,0.0000,0.0000
6.9518,120,0.0000,0.0000,,,0.0000,0.0000
7.0162,122,0.0000,0.0000,,,0.0000,0.0000
7.0961,124,0.0000,0.0000,,,0.0000,0.0000
7.1596,122,0.0000,0.0000,,,0.0000,0.0000
7.2242,122,0.0000,0.0000,,,0.0000,0.0000
7.3037,125,0.0000,0.0000,,,0.0000,0.0000
7.3674,124,0.0000,0.0000,,,0.0000,0.0000
7.4158,113,0.0000,0.0000,,,0.0000,0.0000
7.4955,95,0.0000,0.0000,,,0.0000,0.0000
7.5604,93,0.0000,0.0000,,,0.0000,0.0000
7.6243,90,0.0000,0.0000,,,0.0000,0.0000
7.7043,84,0.0000,0.0000,,,0.0000,0.0000
7.7517,83,0.0000,0.0000,,,0.0000,0.0000
7.8159,78,0.0000,0.0000,,,0.0000,0.0000
7.8964,78,0.0000,0.0000,,,0.0000,0.0000
7.9598,73,0.0000,0.0000,,,0.0000,0.0000
8.0238,73,0.0000,0.0000,,,0.0000,0.0000
8.0916,69,0.0000,0.0000,,,0.0000,0.0000
8.1679,69,0.0000,0.0000,,,0.0000,0.0000
8.2164,64,0.0000,0.0000,,,0.0000,0.0000
8.2956,64,0.0000,0.0000,,,0.0000,0.0000
8.3596,64,0.0000,0.0000,,,0.0000,0.0000
8.4241,64,0.0000,0.0000,,,0.0000,0.0000
8.4875,64,0.0000,0.0000,,,0.0000,0.0000
8.5524,64,0.0000,0.0000,,,0.0000,0.0000
8.6157,64,0.0000,0.0000,,,0.0000,0.0000
8.6955,64,0.0000,0.0000,,,0.0000,0.0000
