t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0120,38,0.0000,0.0000,,,0.0000,0.0000
0.0765,38,0.0000,0.0000,,,0.0000,0.0000
0.1399,38,0.0000,0.0000,,,0.0000,0.0000
0.2204,38,0.0000,0.0000,,,0.0000,0.0000
0.2842,42,0.0000,0.0000,,,0.0000,0.0000
0.3488,44,0.0000,0.0000,,,0.0000,0.0000
0.4281,43,0.0000,0.0000,,,0.0000,0.0000
0.4765,37,0.0000,0.0000,,,0.0000,0.0000
0.5408,36,0.0000,0.0000,,,0.0000,0.0000
0.6207,40,0.0000,0.0000,,,0.0000,0.0000
0.6842,40,0.0000,0.0000,,,0.0000,0.0000
0.7482,46,0.0000,0.0000,,,0.0000,0.0000
0.8280,46,0.0000,0.0000,,,0.0000,0.0000
0.8766,55,0.0000,0.0000,,,0.0000,0.0000
0.9560,58,0.0000,0.0000,,,0.0000,0.0000
1.0200,62,0.0000,0.0000,,,0.0000,0.0000
1.0853,76,0.0000,0.0000,,,0.0000,0.0000
1.1480,78,0.0000,0.0000,,,0.0000,0.0000
1.2279,76,0.0000,0.0000,,,0.0000,0.0000
1.2764,76,0.0000,0.0000,,,0.0000,0.0000
1.3557,79,0.0000,0.0000,,,0.0000,0.0000
1.4204,79,0.0000,0.0000,,,0.0000,0.0000
1.4852,86,0.0000,0.0000,,,0.0000,0.0000
1.5479,86,0.0000,0.0000,,,0.0000,0.0000
1.6120,99,0.0000,0.0000,,,0.0000,0.0000
1.6922,106,0.0000,0.0000,,,0.0000,0.0000
1.7563,106,0.0000,0.0000,,,0.0000,0.0000
1.8202,106,0.0000,0.0000,,,0.0000,0.0000
1.8845,106,0.0000,0.0000,,,0.0000,0.0000
1.9482,109,0.0000,0.0000,,,0.0000,0.0000
2.0137,112,0.0000,0.0000,,,0.0000,0.0000
2.0926,112,0.0000,0.0000,,,0.0000,0.0000
2.1559,116,0.0000,0.0000,,,0.0000,0.0000
2.2201,115,1213.2844,5486.2236,,,0.3853,0.5932
2.2842,112,0.0000,0.0000,,,0.0000,0.0000
2.3485,112,0.0000,0.0000,,,0.0000,0.0000
2.4281,112,0.0000,0.0000,,,0.0000,0.0000
2.4928,112,0.0000,0.0000,,,0.0000,0.0000
2.5568,114,0.0000,0.0000,,,0.0000,0.0000
2.6202,117,2071.5090,7902.3721,,,0.3916,0.5962
2.6848,117,2796.6472,9144.2598,,,0.4600,0.6827
2.7483,117,2608.6440,8752.4131,,,0.4493,0.6759
2.8284,117,2619.3086,8687.8555,,,0.4447,0.6624
2.8918,117,2605.9604,8803.1025,,,0.4614,0.6800
2.9564,117,2613.1909,8752.9980,,,0.4604,0.6663
3.0206,117,2642.2832,8771.7852,,,0.4595,0.6750
3.0841,117,2671.8621,8738.3750,,,0.4599,0.6484
3.1478,117,2631.8408,8738.3750,,,0.4494,0.6484
3.2287,113,2396.1951,7531.8540,,,0.4358,0.6174
3.2921,113,18.5646,159.9300,,,0.1598,0.2277
3.3568,113,31.0754,172.6837,,,0.1628,0.2236
3.4368,114,22.4200,131.2583,,,0.1534,0.1882
3.4840,117,677.7491,131.2583,,,0.3037,0.1882
3.5483,117,2716.1064,5495.8115,,,0.4565,0.5900
3.6281,117,2769.6499,9078.7412,,,0.4601,0.6731
3.6918,114,2726.9602,9005.7637,,,0.4622,0.6720
3.7568,111,0.0000,0.0000,,,0.0000,0.0000
3.8207,113,0.0000,0.0000,,,0.0000,0.0000
3.8843,115,297.3931,2081.7258,,,0.2121,0.3777
3.9651,115,374.1526,2217.6223,,,0.2235,0.3779
4.0447,115,356.8807,2543.4402,,,0.2265,0.4159
4.0927,111,0.0000,0.0000,,,0.0000,0.0000
4.1568,111,0.0000,0.0000,,,0.0000,0.0000
