idx,t,volume,area_px,max_deform_mm,mean_deform_mm
0,0.02600693702697754,0.0,0,0.0,0.0
1,0.05492067337036133,0.0,0,0.0,0.0
2,0.10379433631896973,0.0,0,0.0,0.0
3,0.15326404571533203,0.0,0,0.0,0.0
4,0.20469307899475098,0.0,0,0.0,0.0
5,0.2552952766418457,0.0,0,0.0,0.0
6,0.3054687976837158,0.0,0,0.0,0.0
7,0.3536241054534912,0.0,0,0.0,0.0
8,0.4060392379760742,0.0,0,0.0,0.0
9,0.45782923698425293,0.0,0,0.0,0.0
10,0.5077948570251465,0.0,0,0.0,0.0
11,0.5562431812286377,0.0,0,0.0,0.0
12,0.6042602062225342,0.0,0,0.0,0.0
13,0.655287504196167,0.0,0,0.0,0.0
14,0.7071638107299805,0.0,0,0.0,0.0
15,0.7583303451538086,0.0,0,0.0,0.0
16,0.8053596019744873,0.0,0,0.0,0.0
17,0.8588128089904785,0.0,0,0.0,0.0
18,0.9077198505401611,0.0,0,0.0,0.0
19,0.9588356018066406,0.0,0,0.0,0.0
20,1.008228063583374,0.0,0,0.0,0.0
21,1.0555415153503418,0.0,0,0.0,0.0
22,1.105553150177002,0.0,0,0.0,0.0
23,1.1574711799621582,0.0,0,0.0,0.0
24,1.2083778381347656,0.0,0,0.0,0.0
25,1.2598881721496582,0.0,0,0.0,0.0
26,1.3119604587554932,0.0,0,0.0,0.0
27,1.358560562133789,0.0,0,0.0,0.0
28,1.410041332244873,0.0,0,0.0,0.0
29,1.4622738361358643,0.0,0,0.0,0.0
30,1.5084481239318848,0.0,0,0.0,0.0
31,1.562021255493164,0.0,0,0.0,0.0
32,1.6128041744232178,0.0,0,0.0,0.0
33,1.6632452011108398,0.0,0,0.0,0.0
34,1.7109203338623047,0.0,0,0.0,0.0
35,1.7633450031280518,0.0,0,0.0,0.0
36,1.8115923404693604,0.0,0,0.0,0.0
37,1.8604543209075928,0.0,0,0.0,0.0
38,1.912522792816162,0.0,0,0.0,0.0
39,1.961679220199585,0.0,0,0.0,0.0
40,2.014549493789673,0.0,0,0.0,0.0
41,2.060685396194458,0.0,0,0.0,0.0
42,2.1138386726379395,0.0,0,0.0,0.0
43,2.1632673740386963,0.0,0,0.0,0.0
44,2.2149691581726074,0.0,0,0.0,0.0
45,2.2632181644439697,0.0,0,0.0,0.0
46,2.314504861831665,0.0,0,0.0,0.0
47,2.3604276180267334,0.0,0,0.0,0.0
48,2.414116859436035,0.0,0,0.0,0.0
49,2.4644858837127686,0.0,0,0.0,0.0
50,2.51517653465271,0.0,0,0.0,0.0
51,2.565770149230957,0.0,0,0.0,0.0
52,2.6153345108032227,0.0,0,0.0,0.0
53,2.6658713817596436,0.0,0,0.0,0.0
54,2.715819835662842,0.0,0,0.0,0.0
55,2.7663075923919678,0.0,0,0.0,0.0
56,2.8162426948547363,0.0,0,0.0,0.0
57,2.8662569522857666,0.0,0,0.0,0.0
58,2.9162797927856445,0.0,0,0.0,0.0
59,2.9659299850463867,0.0,0,0.0,0.0
60,3.017348527908325,0.15833619236946106,5,0.03393194586038589,0.03166723996400833
61,3.0637099742889404,0.0,0,0.0,0.0
62,3.1169943809509277,0.0,0,0.0,0.0
63,3.167192220687866,0.0,0,0.0,0.0
64,3.2176520824432373,0.0,0,0.0,0.0
65,3.2675154209136963,0.0,0,0.0,0.0
66,3.3177778720855713,0.0,0,0.0,0.0
67,3.3687965869903564,0.20518866181373596,6,0.03577910158783197,0.034198109060525894
68,3.417956829071045,0.0,0,0.0,0.0
69,3.468702793121338,114.63609313964844,1526,0.18169023469090462,0.07512194663286209
70,3.51896595954895,284.12677001953125,2766,0.2229615397751331,0.10272117704153061
71,3.567840099334717,329.65435791015625,3362,0.2116968561708927,0.09805305302143097
72,3.6155550479888916,308.6418151855469,3166,0.22736944928765296,0.09748636186122894
73,3.6666905879974365,89.99536895751953,1329,0.11011911064386368,0.06771660596132278
74,3.7203943729400635,131.6791534423828,1811,0.14349435269832622,0.07271074503660202
75,3.768826484680176,80.30860900878906,1083,0.11574904546141629,0.0741538405418396
76,3.8200793266296387,122.99859619140625,1765,0.10996625036001205,0.06968759000301361
77,3.8707213401794434,289.7912292480469,3145,0.1831342035531997,0.0921434760093689
78,3.9168026447296143,659.1838989257812,5817,0.2219586980342865,0.1133202537894249
79,3.970775604248047,436.51141357421875,4411,0.1952788621187209,0.09895973652601242
80,4.018752098083496,10.876179695129395,186,0.10383394919335844,0.058474086225032806
81,4.066892862319946,0.0,0,0.0,0.0
82,4.1209681034088135,0.0,0,0.0,0.0
83,4.170211553573608,0.3945711553096771,11,0.04123376384377479,0.035870105028152466
84,4.22148871421814,881.6177978515625,6196,0.2725603923201565,0.1422882229089737
85,4.271623373031616,792.690185546875,5577,0.3330054199695586,0.1421355903148651
86,4.321467161178589,712.3572998046875,5213,0.29360077023506176,0.13665015995502472
87,4.371553659439087,614.306884765625,4826,0.2583811432123184,0.12729111313819885
88,4.421856880187988,839.1323852539062,5836,0.35521184802055356,0.1437855362892151
89,4.4721808433532715,815.1519775390625,5835,0.35088430583477015,0.13970042765140533
90,4.522143125534058,773.7971801757812,5705,0.3444838619232178,0.1356349140405655
91,4.570010662078857,371.9930114746094,3293,0.2721977710723877,0.11296477913856506
92,4.621698617935181,565.5679931640625,4971,0.23098449409008026,0.11377348750829697
93,4.6722822189331055,548.538818359375,4906,0.23091728389263153,0.11180979013442993
94,4.722223520278931,497.2589416503906,4898,0.24243805497884743,0.10152285546064377
95,4.772639274597168,397.0415954589844,3803,0.2288805478811264,0.10440220683813095
96,4.82208776473999,233.4356231689453,2460,0.20144532382488248,0.09489253163337708
97,4.872244834899902,315.69329833984375,2800,0.2287560065090656,0.11274760961532593
98,4.923032522201538,232.61097717285156,2537,0.18076953470706938,0.09168741852045059
99,4.973483324050903,288.497802734375,2677,0.2284286892414093,0.10776907205581665
100,5.023295640945435,537.4373168945312,4577,0.28095296263694763,0.11742130666971207
101,5.070041179656982,579.3375854492188,4796,0.2691871985793115,0.12079599499702454
102,5.124046564102173,1025.925048828125,7357,0.371487078666687,0.1394488364458084
103,5.171484470367432,1335.6058349609375,9291,0.37516701817512516,0.14375264942646027
104,5.224919557571411,1319.7626953125,9175,0.37024184703826907,0.14384335279464722
105,5.275219202041626,1782.93505859375,11699,0.3739042055606842,0.1524006426334381
106,5.325124263763428,2486.64599609375,14366,0.3776519149541855,0.17309243977069855
107,5.375134468078613,2924.2919921875,16102,0.3778695610165596,0.18161047995090485
108,5.425369739532471,3006.371337890625,16541,0.3778635740280151,0.18175269663333893
109,5.475381851196289,2990.716552734375,16148,0.37780299365520476,0.18520662188529968
110,5.525784492492676,3624.962890625,18273,0.37793479204177854,0.1983780860900879
111,5.575931549072266,3536.5,17961,0.37786994576454164,0.19689883291721344
112,5.626777172088623,3978.091796875,19142,0.377930181324482,0.2078200727701187
113,5.676013469696045,3899.61767578125,19056,0.3776166126132011,0.20463988184928894
114,5.726546764373779,4012.583984375,19214,0.37795159220695496,0.20883646607398987
115,5.776477575302124,3239.380126953125,17038,0.3777517086267471,0.19012677669525146
116,5.827296257019043,2940.4833984375,16219,0.3772576665878296,0.18129868805408478
117,5.87714958190918,2404.46240234375,13999,0.37775940358638765,0.17175957560539246
118,5.926886320114136,1822.9183349609375,10993,0.3735396385192871,0.16582536697387695
119,5.978111743927002,1217.7705078125,8093,0.3670262324810028,0.15047207474708557
120,6.028358459472656,1518.053466796875,9903,0.36785699844360353,0.15329228341579437
121,6.074695110321045,1408.8466796875,9085,0.3526297056674957,0.15507392585277557
122,6.1283063888549805,1407.5789794921875,9402,0.3535715517401695,0.14971059560775757
123,6.1783716678619385,1393.2908935546875,9061,0.3715862989425659,0.1537678986787796
124,6.229010581970215,987.9736328125,5942,0.37598131626844405,0.16626954078674316
125,6.2786033153533936,1004.4864501953125,6618,0.3706393814086914,0.15178096294403076
126,6.328885793685913,1320.2066650390625,8795,0.3691906714439392,0.15010876953601837
127,6.377741575241089,1552.39111328125,9998,0.37364080339670186,0.15527015924453735
128,6.429356813430786,1554.6622314453125,9551,0.41629791259765625,0.16277481615543365
129,6.476284027099609,1635.9400634765625,10269,0.42889309644699075,0.15930859744548798
130,6.529353618621826,2057.1484375,13142,0.39394138664007194,0.1565323770046234
131,6.580034017562866,3341.32470703125,18220,0.37764640390872956,0.18338774144649506
132,6.628592491149902,4204.5068359375,20555,0.3779498338699341,0.20454910397529602
133,6.680055618286133,4044.7568359375,20095,0.3778582489490509,0.20128175616264343
134,6.729837656021118,3860.2919921875,20823,0.3784359979629515,0.18538597226142883
135,6.7813684940338135,3263.283203125,19166,0.3778988942503929,0.17026416957378387
136,6.827641725540161,2893.0615234375,17385,0.37716943860054014,0.166411355137825
137,6.880501985549927,3282.400390625,18827,0.3950898331403736,0.17434537410736084
138,6.93133020401001,5527.91455078125,26797,0.40807702064514184,0.20628856122493744
139,6.981110095977783,7366.05078125,29678,0.4516201710700989,0.24819903075695038
140,7.031785249710083,8752.220703125,32275,0.5426630318164825,0.2711764872074127
141,7.078622341156006,10754.404296875,34689,0.5711201906204224,0.3100234866142273
142,7.1314167976379395,13849.716796875,39728,0.6020425391197207,0.3486135005950928
143,7.18098521232605,15977.587890625,42459,0.6734958350658414,0.3763062655925751
144,7.231723070144653,16834.08203125,44334,0.6902446502447126,0.37971043586730957
145,7.28086256980896,17807.359375,45525,0.7108889865875248,0.3911556005477905
146,7.32881498336792,19194.0390625,47669,0.753005862236023,0.40265244245529175
147,7.38225531578064,20347.052734375,49300,0.7652200263738633,0.41271913051605225
148,7.432546854019165,21088.615234375,50158,0.7691868066787719,0.42044371366500854
149,7.482456684112549,23350.419921875,53273,0.7818439793586731,0.4383162260055542
150,7.532966136932373,24493.732421875,54819,0.7946413040161132,0.4468109905719757
151,7.583162307739258,25676.529296875,56036,0.8383079916238789,0.4582148790359497
152,7.633356094360352,26076.60546875,56468,0.8820387619733814,0.461794376373291
153,7.682771921157837,26978.009765625,57656,0.9058747231960297,0.46791329979896545
154,7.733587980270386,28034.419921875,59479,0.8994077730178833,0.4713330864906311
155,7.783634185791016,28829.548828125,59697,0.9066650319099426,0.4829312860965729
156,7.833855152130127,29220.3828125,60402,0.9071271097660064,0.4837651550769806
157,7.879856109619141,30120.830078125,61470,0.91490088224411,0.4900086224079132
158,7.930031061172485,30522.328125,62095,0.9231301593780518,0.4915424585342407
159,7.984426736831665,30610.01171875,61771,0.9235989093780519,0.49554017186164856
160,8.030312299728394,30037.0703125,61115,0.9123057460784912,0.4914844334125519
161,8.085847616195679,27755.568359375,58336,0.9068666875362397,0.4757879972457886
162,8.13355040550232,24387.771484375,54084,0.7951709496974945,0.45092394948005676
163,8.18339991569519,21867.3203125,50601,0.7779132723808289,0.4321519434452057
164,8.237656116485596,18801.32421875,46178,0.7435045450925829,0.40714895725250244
