participant,condition,object,trial_num,fragile_survived,peak_force_proxy,peak_depth_mm,time_to_first_contact_s,force_overshoot_proxy,approach_rate_mm_s,n_force_reversals_post_plateau,time_above_90pct_peak_s
P01,lra,deformable,1,,1545.9675,0.4939,6.8257,31.079099999999926,0.31621142910412997,5.0,0.20870000000000122
P01,lra,deformable,2,,1188.6534,0.3941,5.3512,122.93059999999991,1.4706288873531508,16.0,0.5930999999999989
P01,lra,deformable,3,,1778.1837,0.4909,6.5559,8.112300000000005,0.1323890163804701,6.0,0.4801000000000002
P01,lra,deformable,4,,1540.8694,0.5152,6.1638,6.433099999999968,0.35549231644849183,8.0,0.38510000000000044
P01,lra,deformable,5,,1406.0959,0.5035,4.0858,0.0,0.23691230410136704,4.0,0.07960000000000012
P01,lra,fragile,1,1.0,22452.0176,0.9842,5.0938,6415.146499999999,1.0078124999999991,7.0,0.14390000000000036
P01,lra,fragile,2,0.0,30681.6055,0.9842,4.749,19576.441400000003,0.9337979094076629,7.0,0.12710000000000043
P01,lra,fragile,3,1.0,15500.7158,0.8552,5.8897,13532.7407,,4.0,0.12769999999999992
P01,lra,fragile,4,1.0,17597.5078,0.8552,5.7013,12895.141599999999,0.4034504590060145,17.0,0.27170000000000094
P01,lra,fragile,5,0.0,26367.6152,0.9842,5.7841,5770.8632,0.5323574042667142,1.0,0.2077
P01,tactiles,deformable,1,,1512.458,0.4959,5.0296,37.7808,0.43190013869625515,14.0,0.5916000000000006
P01,tactiles,deformable,2,,1853.8009,0.4454,3.6185,636.712,3.580495356037152,9.0,0.08060000000000045
P01,tactiles,deformable,3,,1790.4484,0.4394,5.1738,109.11590000000001,4.36477987421385,12.0,0.40029999999999966
P01,tactiles,deformable,4,,2480.54,0.4646,2.3451,943.3961999999999,1.1125779244591127,14.0,0.20740000000000025
P01,tactiles,deformable,5,,1195.3116,0.4395,7.6304,0.0,0.48049921996879663,10.0,0.2717999999999998
P01,tactiles,fragile,1,0.0,8652.2871,0.9842,4.4938,6597.478499999999,,4.0,0.14390000000000036
P01,tactiles,fragile,2,1.0,15675.335,0.8123,5.5534,0.0,0.2784604187181573,0.0,0.2079999999999993
P01,tactiles,fragile,3,0.0,17764.8125,0.9097,5.2973,3145.080099999999,,3.0,0.33750000000000036
P01,tactiles,fragile,4,0.0,19141.4121,0.9842,9.893,0.0,5.753328661527696,2.0,0.06329999999999991
P01,tactiles,fragile,5,0.0,21785.4297,0.9842,5.1527,148.1758000000009,1.6084788029925268,7.0,0.46440000000000037
P01,visual_only,deformable,1,,575.0184,0.246,7.6895,70.14880000000005,0.03585217870932156,1.0,0.41630000000000056
P01,visual_only,deformable,2,,0.0,0.0,,,,,
P01,visual_only,deformable,3,,383.5176,0.1632,9.7642,192.71300000000002,,5.0,0.40109999999999957
P01,visual_only,deformable,4,,1729.9434,0.3766,5.3084,18.547900000000027,1.1126102750389189,3.0,0.3993000000000002
P01,visual_only,deformable,5,,0.0,0.0,,,,,
P01,visual_only,fragile,1,1.0,28373.3027,0.9842,4.8129,14046.2724,4.213888888888885,31.0,0.6720000000000006
P01,visual_only,fragile,2,0.0,38273.2266,0.9842,4.4807,28370.6446,10.369811320754671,19.0,0.863599999999999
P01,visual_only,fragile,3,1.0,36751.0234,0.9842,3.4965,25854.1386,0.8946540880503163,12.0,1.3286999999999995
P01,visual_only,fragile,4,1.0,28274.1738,0.9842,4.4265,15335.0508,0.67361835245047,12.0,0.20789999999999953
P01,visual_only,fragile,5,0.0,41916.7656,0.9842,4.5473,27470.5742,0.7248322147651018,3.0,0.08000000000000007
P02,lra,deformable,1,,1228.3093,0.2912,2.944,0.0,0.2581215169226587,0.0,0.3508
P02,lra,deformable,2,,947.2662,0.2309,2.971,113.77380000000005,0.20387742338961862,3.0,0.1120000000000001
P02,lra,deformable,3,,1170.9467,0.3593,2.6836,155.7677,0.42135533883470905,1.0,0.1913999999999998
P02,lra,deformable,4,,1199.656,0.3317,8.5667,0.0,0.2551470588235297,0.0,0.1911000000000005
P02,lra,deformable,5,,958.9024,0.36,2.6902,76.11139999999989,0.3245132301547676,1.0,0.3838999999999997
P02,lra,fragile,1,1.0,12873.125,0.857,4.21,4169.300800000001,1.6676272814601332,7.0,0.41629999999999967
P02,lra,fragile,2,0.0,14418.0254,0.9058,3.0218,93.6846000000005,1.73392857142857,1.0,0.3199000000000001
P02,lra,fragile,3,1.0,4393.5166,0.7594,5.3563,39.927200000000084,1.4735830931796368,3.0,0.3365
P02,lra,fragile,4,1.0,3236.7744,0.815,5.3614,198.6938,1.1013513513513502,3.0,0.2721999999999998
P02,lra,fragile,5,1.0,9063.6875,0.9842,3.1575,103.58200000000033,1.7660714285714292,1.0,0.20779999999999976
P02,tactiles,deformable,1,,428.1792,0.3367,3.3462,0.0,1.3245942571785294,0.0,0.14380000000000015
P02,tactiles,deformable,2,,1359.0001,0.3774,5.03,271.9241999999999,0.06021261056560902,3.0,0.33670000000000044
