participant,condition,object,n_trials,peak_force_proxy,peak_depth_mm,time_to_first_contact_s,force_overshoot_proxy,approach_rate_mm_s,n_force_reversals_post_plateau,time_above_90pct_peak_s,fragile_survived
P01,lra,deformable,5,1540.8694,0.4939,6.1638,8.112300000000005,0.31621142910412997,6.0,0.38510000000000044,
P01,lra,fragile,5,22452.0176,0.9842,5.7013,12895.141599999999,0.7330776568371886,7.0,0.14390000000000036,1.0
P01,tactiles,deformable,5,1790.4484,0.4454,5.0296,109.11590000000001,1.1125779244591127,12.0,0.2717999999999998,
P01,tactiles,fragile,5,17764.8125,0.9842,5.2973,148.1758000000009,1.6084788029925268,3.0,0.2079999999999993,0.0
P01,visual_only,deformable,5,383.5176,0.1632,7.6895,70.14880000000005,0.5742312268741202,3.0,0.40109999999999957,
P01,visual_only,fragile,5,36751.0234,0.9842,4.4807,25854.1386,0.8946540880503163,12.0,0.6720000000000006,1.0
P02,lra,deformable,5,1170.9467,0.3317,2.944,76.11139999999989,0.2581215169226587,1.0,0.1913999999999998,
P02,lra,fragile,5,9063.6875,0.857,4.21,103.58200000000033,1.6676272814601332,3.0,0.3199000000000001,1.0
P02,tactiles,deformable,5,1060.3208,0.3529,5.03,197.74739999999986,0.20603717716729744,1.0,0.12989999999999924,
P02,tactiles,fragile,5,9910.2617,0.9061,3.4348,1784.6927999999998,2.124707107524082,1.0,0.1120000000000001,1.0
P02,visual_only,deformable,5,843.3395,0.2135,3.6395,17.255600000000072,0.2824726134585292,3.0,0.2077,
P02,visual_only,fragile,5,14317.2852,0.9841,4.7758,834.9609000000055,1.7390732829444655,1.0,0.14459999999999962,1.0
P03,lra,deformable,5,2106.407,0.4601,2.1656,0.0,0.5242926829268292,1.0,0.20789999999999997,
P03,lra,fragile,5,15585.3965,0.9842,2.8965,5758.104500000001,2.157031249999998,1.0,0.1445000000000003,1.0
P03,tactiles,deformable,5,763.6246,0.2802,2.1605,8.031299999999987,0.2873911397198031,2.0,0.3186,
P03,tactiles,fragile,5,19799.791,0.9842,2.5518,7984.0830000000005,4.686423649040451,2.0,0.20809999999999995,1.0
P03,visual_only,deformable,5,864.3644,0.3001,2.0189,62.82159999999999,0.32008002000500124,3.0,0.14370000000000038,
P03,visual_only,fragile,5,33129.3125,0.9842,1.9451,11623.0547,4.8050713153724125,5.0,0.3368000000000002,0.0
P04,lra,deformable,5,2386.3733,0.5899,2.1429,333.3294000000001,1.685730487436153,9.0,0.7365999999999997,
P04,lra,fragile,5,12532.7539,0.9842,2.7475,0.0,3.2167641325536067,11.0,1.4082,1.0
P04,tactiles,deformable,5,2221.6343,0.5441,3.1699,504.1079000000002,1.9513425457813698,7.0,0.20820000000000016,
