metric,object,n,friedman_stat,friedman_p,comparison,wilcoxon_stat,wilcoxon_p,holm_p
peak_force_proxy,fragile,20,7.6000,0.0224,visual_only_vs_lra,46.0000,0.0266,0.0799
peak_force_proxy,fragile,20,7.6000,0.0224,visual_only_vs_tactiles,56.0000,0.0696,0.1392
peak_force_proxy,fragile,20,7.6000,0.0224,lra_vs_tactiles,98.0000,0.8124,0.8124
peak_force_proxy,deformable,20,5.7000,0.0578,visual_only_vs_lra,85.0000,0.4749,0.6236
peak_force_proxy,deformable,20,5.7000,0.0578,visual_only_vs_tactiles,77.0000,0.3118,0.6236
peak_force_proxy,deformable,20,5.7000,0.0578,lra_vs_tactiles,47.0000,0.0296,0.0887
peak_depth_mm,fragile,20,3.5769,0.1672,visual_only_vs_lra,34.0000,0.2455,0.7365
peak_depth_mm,fragile,20,3.5769,0.1672,visual_only_vs_tactiles,23.0000,0.3739,0.7479
peak_depth_mm,fragile,20,3.5769,0.1672,lra_vs_tactiles,42.0000,0.8068,0.8068
peak_depth_mm,deformable,20,3.8228,0.1479,visual_only_vs_lra,64.0000,0.1327,0.3693
peak_depth_mm,deformable,20,3.8228,0.1479,visual_only_vs_tactiles,89.0000,0.8092,0.8092
peak_depth_mm,deformable,20,3.8228,0.1479,lra_vs_tactiles,63.0000,0.1231,0.3693
time_to_first_contact_s,fragile,20,0.3000,0.8607,visual_only_vs_lra,96.0000,0.7562,1.0000
time_to_first_contact_s,fragile,20,0.3000,0.8607,visual_only_vs_tactiles,95.0000,0.7285,1.0000
time_to_first_contact_s,fragile,20,0.3000,0.8607,lra_vs_tactiles,102.0000,0.9273,1.0000
time_to_first_contact_s,deformable,19,2.9474,0.2291,visual_only_vs_lra,52.0000,0.0874,0.2623
time_to_first_contact_s,deformable,19,2.9474,0.2291,visual_only_vs_tactiles,87.0000,0.7680,0.8827
time_to_first_contact_s,deformable,19,2.9474,0.2291,lra_vs_tactiles,75.0000,0.4413,0.8827
force_overshoot_proxy,fragile,20,4.7778,0.0917,visual_only_vs_lra,25.0000,0.0084,0.0253
force_overshoot_proxy,fragile,20,4.7778,0.0917,visual_only_vs_tactiles,41.0000,0.0526,0.1052
force_overshoot_proxy,fragile,20,4.7778,0.0917,lra_vs_tactiles,64.0000,0.3491,0.3491
force_overshoot_proxy,deformable,19,0.4444,0.8007,visual_only_vs_lra,75.0000,0.6475,0.9993
force_overshoot_proxy,deformable,19,0.4444,0.8007,visual_only_vs_tactiles,54.0000,0.1701,0.5103
force_overshoot_proxy,deformable,19,0.4444,0.8007,lra_vs_tactiles,70.0000,0.4997,0.9993
approach_rate_mm_s,fragile,20,2.1000,0.3499,visual_only_vs_lra,60.0000,0.0973,0.2276
approach_rate_mm_s,fragile,20,2.1000,0.3499,visual_only_vs_tactiles,57.0000,0.0759,0.2276
approach_rate_mm_s,fragile,20,2.1000,0.3499,lra_vs_tactiles,103.0000,0.9563,0.9563
approach_rate_mm_s,deformable,18,2.7778,0.2494,visual_only_vs_lra,73.0000,0.6095,0.6095
approach_rate_mm_s,deformable,18,2.7778,0.2494,visual_only_vs_tactiles,58.0000,0.2462,0.4924
approach_rate_mm_s,deformable,18,2.7778,0.2494,lra_vs_tactiles,40.0000,0.0483,0.1448
n_force_reversals_post_plateau,fragile,20,11.0833,0.0039,visual_only_vs_lra,44.0000,0.0700,0.1401
n_force_reversals_post_plateau,fragile,20,11.0833,0.0039,visual_only_vs_tactiles,26.5000,0.0101,0.0302
n_force_reversals_post_plateau,fragile,20,11.0833,0.0039,lra_vs_tactiles,60.5000,0.4475,0.4475
n_force_reversals_post_plateau,deformable,19,2.2571,0.3235,visual_only_vs_lra,72.0000,0.5554,0.5554
n_force_reversals_post_plateau,deformable,19,2.2571,0.3235,visual_only_vs_tactiles,51.5000,0.2356,0.4713
n_force_reversals_post_plateau,deformable,19,2.2571,0.3235,lra_vs_tactiles,41.5000,0.0968,0.2905
time_above_90pct_peak_s,fragile,20,2.1000,0.3499,visual_only_vs_lra,86.0000,0.4980,0.6600
time_above_90pct_peak_s,fragile,20,2.1000,0.3499,visual_only_vs_tactiles,65.0000,0.1429,0.4287
time_above_90pct_peak_s,fragile,20,2.1000,0.3499,lra_vs_tactiles,78.0000,0.3300,0.6600
time_above_90pct_peak_s,deformable,19,2.8421,0.2415,visual_only_vs_lra,63.0000,0.2101,0.4202
time_above_90pct_peak_s,deformable,19,2.8421,0.2415,visual_only_vs_tactiles,53.0000,0.0955,0.2865
time_above_90pct_peak_s,deformable,19,2.8421,0.2415,lra_vs_tactiles,86.0000,0.7381,0.7381
