item,condition,n,median,iqr_low,iqr_high
ease_of_manipulation,visual_only,17,3.00,2.00,4.00
ease_of_manipulation,lra,17,4.00,3.00,4.00
ease_of_manipulation,tactiles,17,4.00,3.00,4.00
contact_detection,visual_only,17,2.00,2.00,3.00
contact_detection,lra,17,4.00,4.00,4.00
contact_detection,tactiles,17,4.00,3.00,5.00
grasp_confidence,visual_only,17,2.00,2.00,3.00
grasp_confidence,lra,17,4.00,3.00,4.00
grasp_confidence,tactiles,17,4.00,3.00,4.00
force_perception,visual_only,17,1.00,1.00,2.00
force_perception,lra,17,3.00,3.00,4.00
force_perception,tactiles,17,3.00,3.00,4.00
mental_effort_low,visual_only,17,3.00,2.00,4.00
mental_effort_low,lra,17,4.00,3.00,4.00
mental_effort_low,tactiles,17,4.00,3.00,5.00
physical_effort_low,visual_only,17,3.00,3.00,4.00
physical_effort_low,lra,17,4.00,3.00,4.00
physical_effort_low,tactiles,17,4.00,3.00,5.00
